date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,20212864.0,12.1746,12.28,12.24,12.345,12.02,1705554000000,66714
2024-01-19 05:00:00,26535062.0,12.5502,12.25,12.72,12.74,12.24,1705640400000,85608
2024-01-22 05:00:00,26669964.0,12.8559,12.83,12.93,12.94,12.72,1705899600000,70202
2024-01-23 05:00:00,15234378.0,12.808,13.0,12.76,13.04,12.73,1705986000000,48341
2024-01-24 05:00:00,22341571.0,13.0561,12.84,13.08,13.15,12.8,1706072400000,61282
2024-01-25 05:00:00,13956432.0,12.9353,13.24,12.94,13.24,12.81,1706158800000,54149
2024-01-26 05:00:00,15555358.0,13.0226,12.94,13.05,13.08,12.92,1706245200000,39199
2024-01-29 05:00:00,10520170.0,13.0387,13.01,13.13,13.13,12.93,1706504400000,33986
2024-01-30 05:00:00,11897101.0,13.1397,13.12,13.12,13.19,13.07,1706590800000,42739
2024-01-31 05:00:00,21259055.0,12.8461,12.73,12.73,13.07,12.66,1706677200000,58584
2024-02-01 05:00:00,34530948.0,12.4241,12.74,12.46,12.81,12.07,1706763600000,78448
2024-02-02 05:00:00,24041504.0,12.5234,12.31,12.59,12.67,12.21,1706850000000,68496
2024-02-05 05:00:00,16493140.0,12.4077,12.43,12.4,12.495,12.3,1707109200000,47700
2024-02-06 05:00:00,17535353.0,12.3648,12.4,12.37,12.51,12.245,1707195600000,55510
2024-02-07 05:00:00,16753338.0,12.3158,12.49,12.35,12.515,12.13,1707282000000,52749
2024-02-08 05:00:00,11406665.0,12.2948,12.24,12.32,12.37,12.15,1707368400000,37544
2024-02-09 05:00:00,14115658.0,12.3698,12.35,12.41,12.475,12.19,1707454800000,48266
2024-02-12 05:00:00,14163190.0,12.6728,12.47,12.66,12.81,12.435,1707714000000,46339
2024-02-13 05:00:00,26226921.0,12.3228,12.43,12.34,12.45,12.175,1707800400000,72335
2024-02-14 05:00:00,23336527.0,12.6515,12.61,12.72,12.74,12.53,1707886800000,68345
2024-02-15 05:00:00,18364102.0,12.88,12.78,12.84,13.06,12.75,1707973200000,63789
2024-02-16 05:00:00,15977262.0,12.8696,12.77,12.87,13.0,12.67,1708059600000,50306
2024-02-20 05:00:00,16990922.0,12.8092,12.68,12.76,12.92,12.68,1708405200000,44255
2024-02-21 05:00:00,15789090.0,12.8223,12.74,12.87,12.93,12.62,1708491600000,49411
2024-02-22 05:00:00,15841896.0,12.9083,12.94,12.86,13.065,12.82,1708578000000,48525
2024-02-23 05:00:00,10812699.0,12.8754,12.87,12.86,12.95,12.78,1708664400000,41515
2024-02-26 05:00:00,12264175.0,12.7785,12.86,12.78,12.92,12.664,1708923600000,38692
2024-02-27 05:00:00,16196600.0,12.9707,12.86,13.02,13.02,12.83,1709010000000,39453
2024-02-28 05:00:00,13304851.0,12.9329,12.88,12.9,13.03,12.87,1709096400000,37777
2024-02-29 05:00:00,18259490.0,13.0244,13.1,13.04,13.14,12.9,1709182800000,48883
2024-03-01 05:00:00,20580867.0,12.8983,12.91,12.95,12.975,12.685,1709269200000,65635
2024-03-04 05:00:00,24610565.0,13.3622,13.05,13.36,13.5,13.05,1709528400000,71283
2024-03-05 05:00:00,20047515.0,13.6212,13.34,13.66,13.7697,13.33,1709614800000,61810
2024-03-06 05:00:00,31375777.0,13.5104,13.61,13.55,13.66,13.34,1709701200000,83900
2024-03-07 05:00:00,24055308.0,13.5574,13.7,13.53,13.74,13.46,1709787600000,51791
2024-03-08 05:00:00,17524696.0,13.5496,13.64,13.5,13.675,13.485,1709874000000,53916
2024-03-11 04:00:00,12576954.0,13.4578,13.45,13.46,13.535,13.36,1710129600000,48955
2024-03-12 04:00:00,11758621.0,13.4307,13.49,13.44,13.5,13.35,1710216000000,46036
2024-03-13 04:00:00,18189809.0,13.4402,13.41,13.44,13.55,13.3642,1710302400000,58571
2024-03-14 04:00:00,16601352.0,13.1275,13.3,13.06,13.42,12.97,1710388800000,56265
2024-03-15 04:00:00,55706007.0,13.043,12.78,13.05,13.13,12.78,1710475200000,63456
2024-03-18 04:00:00,12120406.0,12.9933,12.99,13.02,13.075,12.87,1710734400000,40663
2024-03-19 04:00:00,12492924.0,13.0094,12.99,13.0,13.07,12.96,1710820800000,36020
2024-03-20 04:00:00,14183749.0,13.2006,12.95,13.32,13.38,12.89,1710907200000,43011
2024-03-21 04:00:00,15040241.0,13.5308,13.375,13.61,13.61,13.335,1710993600000,48097
2024-03-22 04:00:00,11865867.0,13.4087,13.65,13.31,13.74,13.3,1711080000000,42738
