date,volume,vw,open,close,high,low,t,n
2024-01-23 05:00:00,8726735.0,15.5276,15.63,15.5,15.7,15.46,1705986000000,42323
2024-01-24 05:00:00,11362438.0,15.7622,15.63,15.76,15.99,15.57,1706072400000,54528
2024-01-25 05:00:00,11244816.0,15.9278,15.91,15.92,16.04,15.82,1706158800000,47410
2024-01-26 05:00:00,6099498.0,15.8176,15.9,15.84,15.945,15.71,1706245200000,31763
2024-01-29 05:00:00,7291401.0,15.7654,15.74,15.8,15.83,15.635,1706504400000,29060
2024-01-30 05:00:00,6540613.0,15.8628,15.97,15.89,15.99,15.75,1706590800000,31432
2024-01-31 05:00:00,15595353.0,15.3338,15.66,15.29,15.67,15.09,1706677200000,72035
2024-02-01 05:00:00,7500871.0,15.3066,15.34,15.36,15.38,15.13,1706763600000,41633
2024-02-02 05:00:00,7301443.0,15.4199,15.33,15.41,15.53,15.14,1706850000000,35295
2024-02-05 05:00:00,8563349.0,15.2758,15.3,15.28,15.37,15.215,1707109200000,34616
2024-02-06 05:00:00,9909093.0,15.3575,15.27,15.28,15.495,15.26,1707195600000,42907
2024-02-07 05:00:00,11377756.0,15.2213,15.33,15.26,15.37,15.08,1707282000000,39145
2024-02-08 05:00:00,8059718.0,15.4365,15.26,15.5,15.52,15.21,1707368400000,40068
2024-02-09 05:00:00,6572344.0,15.4763,15.45,15.48,15.55,15.37,1707454800000,29608
2024-02-12 05:00:00,6361472.0,15.6212,15.48,15.61,15.75,15.46,1707714000000,34252
2024-02-13 05:00:00,7133332.0,15.1963,15.26,15.23,15.32,15.09,1707800400000,39852
2024-02-14 05:00:00,10443684.0,15.2177,15.38,15.23,15.455,15.12,1707886800000,43646
2024-02-15 05:00:00,9556167.0,15.1985,15.22,15.26,15.285,15.065,1707973200000,50961
2024-02-16 05:00:00,10076674.0,14.9746,15.19,14.93,15.25,14.91,1708059600000,45429
2024-02-20 05:00:00,9652688.0,14.9646,14.85,15.01,15.09,14.8,1708405200000,46682
2024-02-21 05:00:00,8118702.0,14.8545,14.9,14.91,14.99,14.755,1708491600000,38939
2024-02-22 05:00:00,10462427.0,15.0754,15.04,15.07,15.18,14.93,1708578000000,37118
2024-02-23 05:00:00,8561033.0,15.1174,15.11,15.11,15.23,15.04,1708664400000,37767
2024-02-26 05:00:00,14869487.0,14.974,15.09,14.93,15.135,14.87,1708923600000,57097
2024-02-27 05:00:00,9432125.0,14.9207,15.01,14.89,15.08,14.83,1709010000000,43098
2024-02-28 05:00:00,9910174.0,14.9156,14.84,14.86,15.06,14.78,1709096400000,37685
2024-02-29 05:00:00,27341822.0,15.1515,15.0,15.23,15.26,15.0,1709182800000,78265
2024-03-01 05:00:00,34153731.0,15.4177,14.53,15.56,15.7,14.465,1709269200000,142218
2024-03-04 05:00:00,41177721.0,16.9309,15.81,17.15,17.305,15.76,1709528400000,156948
2024-03-05 05:00:00,44150241.0,17.8053,17.0104,18.1,18.19,17.0104,1709614800000,171149
2024-03-06 05:00:00,51250908.0,19.2691,18.35,18.77,20.07,18.34,1709701200000,234275
2024-03-07 05:00:00,29773675.0,18.1194,18.79,18.18,18.83,17.72,1709787600000,127464
2024-03-08 05:00:00,21698029.0,18.1272,18.63,17.99,18.69,17.955,1709874000000,100470
2024-03-11 04:00:00,19422810.0,18.0377,17.715,18.04,18.27,17.63,1710129600000,83077
2024-03-12 04:00:00,33677065.0,18.3921,18.52,18.05,19.15,18.04,1710216000000,128041
2024-03-13 04:00:00,17482360.0,17.8066,18.02,17.9,18.06,17.61,1710302400000,78674
2024-03-14 04:00:00,15774909.0,17.5206,17.7,17.53,17.7,17.38,1710388800000,77878
2024-03-15 04:00:00,41144429.0,16.9183,17.3,16.73,17.42,16.7,1710475200000,95905
2024-03-18 04:00:00,22137559.0,17.0575,16.94,17.06,17.19,16.79,1710734400000,74517
2024-03-19 04:00:00,12177996.0,16.8276,16.95,16.78,17.02,16.72,1710820800000,53879
2024-03-20 04:00:00,17508407.0,16.8423,16.67,16.93,16.935,16.5,1710907200000,55094
2024-03-21 04:00:00,12914779.0,17.2491,17.17,17.21,17.41,17.05,1710993600000,72860
2024-03-22 04:00:00,9279486.0,17.4081,17.21,17.37,17.61,17.21,1711080000000,49602
2024-03-25 04:00:00,16167249.0,17.4499,17.25,17.42,17.63,17.21,1711339200000,77649
2024-03-26 04:00:00,14285237.0,17.6653,17.51,17.69,17.84,17.45,1711425600000,53555
2024-03-27 04:00:00,9727136.0,17.5928,17.77,17.67,17.8,17.41,1711512000000,40239
2024-03-28 04:00:00,9155510.0,17.7687,17.74,17.73,17.855,17.69,1711598400000,37329
2024-04-01 04:00:00,9680864.0,17.9097,17.68,17.94,18.015,17.62,1711944000000,47210
2024-04-02 04:00:00,9361543.0,17.6869,17.75,17.7,17.82,17.55,1712030400000,46550
