date,volume,vw,open,close,high,low,t,n
2024-01-23 05:00:00,817679.0,74.3221,74.84,74.2,75.27,74.0,1705986000000,15273
2024-01-24 05:00:00,860186.0,73.6418,74.36,73.26,75.39,73.18,1706072400000,16490
2024-01-25 05:00:00,713190.0,73.8532,73.32,74.04,74.19,73.32,1706158800000,17560
2024-01-26 05:00:00,809386.0,74.1018,74.51,74.2,74.73,73.85,1706245200000,16215
2024-01-29 05:00:00,697300.0,74.9797,74.25,75.23,75.24,73.85,1706504400000,12974
2024-01-30 05:00:00,1047706.0,74.9373,75.23,74.78,75.5,74.705,1706590800000,17872
2024-01-31 05:00:00,988539.0,75.0328,75.24,74.84,75.48,74.72,1706677200000,16920
2024-02-01 05:00:00,742463.0,75.3011,74.89,75.73,75.76,74.4675,1706763600000,15374
2024-02-02 05:00:00,1090937.0,76.0737,75.52,76.14,76.69,75.31,1706850000000,21548
2024-02-05 05:00:00,885199.0,74.8846,75.8,74.91,76.07,74.24,1707109200000,16078
2024-02-06 05:00:00,920557.0,76.0785,75.39,76.09,76.33,75.1,1707195600000,15803
2024-02-07 05:00:00,996195.0,75.4417,76.25,75.26,76.31,75.15,1707282000000,15038
2024-02-08 05:00:00,1757495.0,74.098,73.43,74.9,75.2,72.975,1707368400000,24506
2024-02-09 05:00:00,1359560.0,73.9371,74.86,73.72,75.62,73.4327,1707454800000,23008
2024-02-12 05:00:00,596594.0,75.3498,73.8,75.73,75.77,73.8,1707714000000,13206
2024-02-13 05:00:00,1409589.0,73.4649,75.24,73.25,75.36,72.69,1707800400000,22349
2024-02-14 05:00:00,881766.0,73.5358,73.61,73.68,73.78,72.81,1707886800000,18638
2024-02-15 05:00:00,870629.0,75.5913,74.18,75.5,76.31,74.18,1707973200000,19187
2024-02-16 05:00:00,658764.0,75.6331,75.4,75.65,75.88,74.9904,1708059600000,14740
2024-02-20 05:00:00,912697.0,75.4871,75.23,75.64,76.13,75.05,1708405200000,15946
2024-02-21 05:00:00,905751.0,75.0374,75.22,75.09,76.355,74.485,1708491600000,15082
2024-02-22 05:00:00,1694219.0,76.6491,75.05,77.08,77.4,74.83,1708578000000,27719
2024-02-23 05:00:00,3240349.0,80.0708,77.18,79.86,81.21,76.83,1708664400000,39781
2024-02-26 05:00:00,2555588.0,80.668,79.5,80.57,81.46,79.445,1708923600000,36165
2024-02-27 05:00:00,2605997.0,78.2869,79.71,77.85,82.63,75.41,1709010000000,39971
2024-02-28 05:00:00,1690994.0,76.0301,78.13,76.49,78.13,74.43,1709096400000,25674
2024-02-29 05:00:00,1661773.0,76.4913,76.8,76.47,77.235,76.14,1709182800000,19776
2024-03-01 05:00:00,1193866.0,76.9101,76.47,76.88,77.685,76.04,1709269200000,21240
2024-03-04 05:00:00,1009127.0,76.7037,76.5,76.79,77.3,76.23,1709528400000,18478
2024-03-05 05:00:00,1240534.0,75.6351,76.0,75.41,76.76,75.075,1709614800000,20391
2024-03-06 05:00:00,1423412.0,75.4518,75.78,75.33,76.33,74.39,1709701200000,18991
2024-03-07 05:00:00,928232.0,75.2577,75.55,75.22,75.87,74.875,1709787600000,15086
2024-03-08 05:00:00,852919.0,74.9904,75.51,74.76,75.97,74.7,1709874000000,13881
2024-03-11 04:00:00,1020647.0,74.8681,75.15,75.0,75.26,74.47,1710129600000,17515
2024-03-12 04:00:00,977551.0,74.4795,75.08,74.42,75.08,74.19,1710216000000,16885
2024-03-13 04:00:00,1331565.0,75.4204,74.49,75.34,76.07,74.46,1710302400000,17412
2024-03-14 04:00:00,1246798.0,74.5,75.24,74.39,75.5,73.98,1710388800000,17730
2024-03-15 04:00:00,1551040.0,74.5406,73.72,74.58,75.04,73.72,1710475200000,16775
2024-03-18 04:00:00,937142.0,74.1505,74.37,74.18,74.48,73.58,1710734400000,12935
2024-03-19 04:00:00,1037841.0,74.433,74.63,74.38,74.87,73.98,1710820800000,12211
2024-03-20 04:00:00,793751.0,74.6349,74.73,74.78,74.905,74.14,1710907200000,12086
2024-03-21 04:00:00,718236.0,74.1501,74.8,74.08,74.99,73.56,1710993600000,14056
2024-03-22 04:00:00,1627007.0,73.0833,73.96,73.12,74.25,72.555,1711080000000,20003
2024-03-25 04:00:00,1604422.0,72.9508,73.29,72.89,73.74,72.8,1711339200000,12789
2024-03-26 04:00:00,1231100.0,73.0268,72.72,72.88,73.33,72.685,1711425600000,18190
2024-03-27 04:00:00,1430587.0,74.6051,73.07,75.15,75.21,72.985,1711512000000,18533
2024-03-28 04:00:00,1014939.0,75.6564,75.15,75.52,76.15,74.64,1711598400000,17118
2024-04-01 04:00:00,1084941.0,74.1996,75.17,74.24,75.195,73.815,1711944000000,18778
2024-04-02 04:00:00,871308.0,73.3107,73.83,73.07,74.69,73.0,1712030400000,17893
2024-04-03 04:00:00,808325.0,73.3851,72.85,73.44,73.665,72.82,1712116800000,12957
2024-04-04 04:00:00,780234.0,73.1371,73.92,72.89,74.02,72.72,1712203200000,13988
2024-04-05 04:00:00,584911.0,72.4981,72.74,72.52,72.82,72.2,1712289600000,12861
2024-04-08 04:00:00,1035445.0,72.7066,72.37,72.47,73.29,72.15,1712548800000,15665
2024-04-09 04:00:00,655485.0,72.8402,72.37,73.17,73.2,72.01,1712635200000,13820
2024-04-10 04:00:00,891621.0,71.9162,72.28,71.86,72.78,71.67,1712721600000,19730
2024-04-11 04:00:00,829307.0,71.749,72.17,71.81,72.69,71.14,1712808000000,15744
2024-04-12 04:00:00,989207.0,70.7899,71.26,71.01,71.57,70.21,1712894400000,18742
2024-04-15 04:00:00,856775.0,71.1249,71.33,70.73,71.96,70.69,1713153600000,17313
2024-04-16 04:00:00,1033644.0,71.0831,70.72,71.22,71.41,70.53,1713240000000,18647
2024-04-17 04:00:00,1067128.0,70.5422,71.47,70.2,71.92,70.19,1713326400000,19474
2024-04-18 04:00:00,745157.0,69.8889,70.34,69.97,70.37,69.48,1713412800000,15274
2024-04-19 04:00:00,768627.0,70.7356,70.31,70.86,70.98,70.0,1713499200000,16429
2024-04-22 04:00:00,837456.0,71.9621,70.95,72.04,72.32,70.95,1713758400000,19065
2024-04-23 04:00:00,626962.0,72.7856,72.19,72.76,73.16,72.02,1713844800000,14795
2024-04-24 04:00:00,824051.0,72.9722,72.42,73.21,73.4,72.17,1713931200000,16580
2024-04-25 04:00:00,583100.0,72.8374,73.22,72.82,73.57,72.33,1714017600000,13761
2024-04-26 04:00:00,722374.0,73.3352,72.78,73.13,73.76,72.42,1714104000000,14832
2024-04-29 04:00:00,743703.0,73.14,73.26,73.03,73.895,72.78,1714363200000,16212
2024-04-30 04:00:00,1720426.0,69.8484,72.48,69.28,72.575,69.17,1714449600000,25594
2024-05-01 04:00:00,890008.0,69.069,69.38,68.78,69.84,68.59,1714536000000,18392
2024-05-02 04:00:00,1318897.0,68.665,68.87,68.6,69.34,67.97,1714622400000,22207
2024-05-03 04:00:00,1167605.0,68.1982,68.71,67.78,69.31,67.64,1714708800000,22990
2024-05-06 04:00:00,1390498.0,68.3381,68.45,68.53,68.9,67.89,1714968000000,26775
2024-05-07 04:00:00,2084008.0,71.0059,71.14,71.2,72.8,69.95,1715054400000,36088
2024-05-08 04:00:00,1875896.0,72.868,71.53,72.76,73.7099,70.9,1715140800000,33263
2024-05-09 04:00:00,1322592.0,73.2841,73.11,73.44,74.22,72.53,1715227200000,23647
2024-05-10 04:00:00,850463.0,73.2437,73.38,73.31,73.755,72.645,1715313600000,17490
2024-05-13 04:00:00,679923.0,73.2033,73.32,73.13,73.98,72.9,1715572800000,15119
2024-05-14 04:00:00,1252945.0,72.804,73.8,72.77,74.33,72.39,1715659200000,21405
2024-05-15 04:00:00,1084309.0,74.2671,73.2,74.74,74.85,72.64,1715745600000,21982
2024-05-16 04:00:00,720763.0,74.5365,75.0,74.33,75.2,74.33,1715832000000,13512
2024-05-17 04:00:00,799285.0,74.5373,74.52,74.6,74.76,74.1,1715918400000,14324
2024-05-20 04:00:00,800946.0,73.7571,74.56,73.47,74.6,73.2,1716177600000,15822
2024-05-21 04:00:00,920338.0,73.2244,73.3,73.25,73.55,72.8235,1716264000000,16687
2024-05-22 04:00:00,571179.0,72.6376,73.25,72.38,73.765,72.315,1716350400000,13322
2024-05-23 04:00:00,876845.0,72.0231,72.19,71.52,73.01,71.34,1716436800000,17601
2024-05-24 04:00:00,458504.0,71.5462,71.9,71.72,72.1502,70.91,1716523200000,12685
2024-05-28 04:00:00,1023757.0,71.0816,71.16,71.15,71.64,70.69,1716868800000,16052
2024-05-29 04:00:00,738098.0,70.1544,70.44,70.14,70.49,69.52,1716955200000,18010
2024-05-30 04:00:00,1219830.0,69.5634,70.21,69.25,70.59,69.0,1717041600000,23402
2024-05-31 04:00:00,2304039.0,69.2688,69.3,69.34,69.84,68.6,1717128000000,21154
2024-06-03 04:00:00,783237.0,69.3902,69.39,69.68,69.87,68.91,1717387200000,16802
2024-06-04 04:00:00,633264.0,69.7049,69.63,69.64,70.13,69.28,1717473600000,13541
2024-06-05 04:00:00,668333.0,69.5854,69.6,69.64,69.94,68.72,1717560000000,14444
2024-06-06 04:00:00,1141810.0,68.6142,69.47,68.6,70.12,67.82,1717646400000,22421
2024-06-07 04:00:00,852850.0,68.5212,68.48,68.51,68.815,68.2,1717732800000,16990
2024-06-10 04:00:00,875035.0,67.5591,67.94,67.42,68.32,67.26,1717992000000,19306
2024-06-11 04:00:00,796744.0,66.5827,67.26,66.51,67.26,66.21,1718078400000,16602
2024-06-12 04:00:00,1013580.0,66.5677,66.86,66.41,66.995,66.08,1718164800000,23219
2024-06-13 04:00:00,905168.0,66.0369,66.04,66.27,66.505,65.04,1718251200000,20875
2024-06-14 04:00:00,730253.0,65.7566,65.79,65.8,66.25,65.22,1718337600000,16658
2024-06-17 04:00:00,1397353.0,66.3663,65.35,66.18,66.895,64.69,1718596800000,22125
2024-06-18 04:00:00,1524512.0,68.1613,66.35,68.28,69.99,66.11,1718683200000,25483
2024-06-20 04:00:00,931530.0,66.6885,67.94,66.55,67.965,66.36,1718856000000,18539
2024-06-21 04:00:00,1600121.0,67.2452,66.78,67.26,67.61,66.2,1718942400000,17777
2024-06-24 04:00:00,632623.0,67.6109,67.44,67.27,68.44,67.26,1719201600000,15575
2024-06-25 04:00:00,824054.0,66.2557,67.04,66.1,67.23,65.98,1719288000000,19430
2024-06-26 04:00:00,1169102.0,64.8417,65.86,64.56,66.1,64.48,1719374400000,22174
2024-06-27 04:00:00,927040.0,64.0529,64.64,64.09,64.99,63.71,1719460800000,21475
2024-06-28 04:00:00,1641594.0,64.137,64.21,64.1,64.46,63.895,1719547200000,19612
2024-07-01 04:00:00,1886648.0,64.9419,64.45,65.11,65.45,64.2,1719806400000,24559
2024-07-02 04:00:00,1043316.0,65.692,65.18,65.6,66.03,65.0945,1719892800000,20504
2024-07-03 04:00:00,702880.0,65.0321,65.79,64.79,65.93,64.77,1719979200000,12522
2024-07-05 04:00:00,1475925.0,64.9115,64.55,64.96,65.17,64.52,1720152000000,15797
2024-07-08 04:00:00,595132.0,64.9233,65.23,64.75,65.72,64.63,1720411200000,12710
2024-07-09 04:00:00,744911.0,64.4187,64.54,64.44,64.74,64.15,1720497600000,13677
2024-07-10 04:00:00,691496.0,64.2101,64.47,64.19,64.56,63.91,1720584000000,12073
2024-07-11 04:00:00,1258022.0,65.1123,64.53,65.1,65.36,64.135,1720670400000,18093
2024-07-12 04:00:00,1402742.0,65.1777,65.14,65.15,65.48,64.775,1720756800000,18664
2024-07-15 04:00:00,1034682.0,65.8432,65.36,65.84,66.15,65.36,1721016000000,15098
2024-07-16 04:00:00,1606427.0,67.2707,65.94,67.59,67.83,65.84,1721102400000,21283
2024-07-17 04:00:00,2266764.0,71.0343,67.72,71.22,71.89,67.72,1721188800000,26908
2024-07-18 04:00:00,1895665.0,71.5468,70.7,70.67,73.36,70.57,1721275200000,29288
2024-07-19 04:00:00,1515830.0,70.5738,71.06,70.34,71.62,70.16,1721361600000,23240
