date,volume,vw,open,close,high,low,t,n
2024-01-23 05:00:00,3870774.0,56.4253,56.1,56.43,56.76,55.97,1705986000000,36433
2024-01-24 05:00:00,2420754.0,56.5987,56.68,56.34,57.035,56.3,1706072400000,29779
2024-01-25 05:00:00,8717118.0,55.5142,56.34,55.27,56.57,55.06,1706158800000,74995
2024-01-26 05:00:00,4240171.0,55.3864,55.48,55.43,55.61,55.0,1706245200000,43070
2024-01-29 05:00:00,3034603.0,55.5555,55.41,55.78,55.79,55.325,1706504400000,28477
2024-01-30 05:00:00,2936165.0,55.9542,55.75,55.98,56.17,55.66,1706590800000,25695
2024-01-31 05:00:00,4398480.0,56.393,56.11,56.26,56.89,55.89,1706677200000,39738
2024-02-01 05:00:00,2302999.0,57.0173,56.6,57.38,57.42,56.29,1706763600000,33929
2024-02-02 05:00:00,3097613.0,57.483,57.44,57.72,57.94,57.0,1706850000000,26778
2024-02-05 05:00:00,2611382.0,57.6808,57.25,57.79,57.97,57.12,1707109200000,30150
2024-02-06 05:00:00,2144189.0,58.1853,57.81,58.43,58.485,57.66,1707195600000,25237
2024-02-07 05:00:00,3043411.0,59.1644,58.73,59.09,59.42,58.58,1707282000000,31084
2024-02-08 05:00:00,2164973.0,59.1256,59.15,59.17,59.32,58.86,1707368400000,28023
2024-02-09 05:00:00,2449586.0,58.7988,59.38,58.6,59.4,58.56,1707454800000,28772
2024-02-12 05:00:00,3656247.0,58.6392,58.64,58.83,58.87,58.34,1707714000000,42087
2024-02-13 05:00:00,6244853.0,61.1507,60.0,61.98,61.98,58.545,1707800400000,69084
2024-02-14 05:00:00,3361449.0,62.9647,62.57,63.38,63.43,62.385,1707886800000,38950
2024-02-15 05:00:00,3241393.0,63.3678,63.46,63.27,63.685,63.26,1707973200000,32412
2024-02-16 05:00:00,2686858.0,63.254,63.53,62.82,63.915,62.72,1708059600000,28825
2024-02-20 05:00:00,3709987.0,63.0237,62.84,63.11,63.655,62.7,1708405200000,31608
2024-02-21 05:00:00,5369269.0,63.582,63.25,63.52,64.0,63.15,1708491600000,37565
2024-02-22 05:00:00,2705755.0,64.8331,63.97,65.06,65.12,63.77,1708578000000,31844
2024-02-23 05:00:00,4348987.0,65.7274,65.18,65.87,65.94,65.07,1708664400000,33800
2024-02-26 05:00:00,2650127.0,65.9796,66.08,65.86,66.285,65.65,1708923600000,28435
2024-02-27 05:00:00,1981311.0,65.8562,65.92,65.97,66.195,65.382,1709010000000,25432
2024-02-28 05:00:00,2343309.0,66.5848,65.98,66.76,66.9,65.74,1709096400000,29446
2024-02-29 05:00:00,3676062.0,66.5569,66.79,66.55,66.92,66.24,1709182800000,28773
2024-03-01 05:00:00,2172679.0,66.9816,66.64,67.0,67.24,66.5,1709269200000,31076
2024-03-04 05:00:00,1922795.0,67.7131,67.05,67.79,67.97,66.95,1709528400000,27605
2024-03-05 05:00:00,2954684.0,67.9415,67.64,67.96,68.335,67.43,1709614800000,34940
2024-03-06 05:00:00,4685455.0,68.86,68.14,68.78,69.27,68.09,1709701200000,35790
2024-03-07 05:00:00,2510975.0,69.178,69.12,69.38,69.49,68.735,1709787600000,26224
2024-03-08 05:00:00,3655214.0,68.2683,69.38,67.74,69.55,67.33,1709874000000,44512
2024-03-11 04:00:00,6437632.0,65.2763,67.47,65.0,67.95,64.77,1710129600000,64116
2024-03-12 04:00:00,5843624.0,65.7702,65.05,66.07,66.2,64.39,1710216000000,46732
2024-03-13 04:00:00,4389883.0,65.5423,65.99,65.63,66.09,65.06,1710302400000,37786
2024-03-14 04:00:00,3675828.0,65.4868,65.63,65.5,65.79,65.175,1710388800000,30761
2024-03-15 04:00:00,6494466.0,66.0869,65.0,66.24,66.24,65.0,1710475200000,32223
2024-03-18 04:00:00,4039557.0,66.7825,66.76,66.74,67.15,66.285,1710734400000,29924
2024-03-19 04:00:00,4269063.0,67.0264,66.93,67.17,67.39,66.46,1710820800000,32497
2024-03-20 04:00:00,4558324.0,67.5468,67.11,67.53,67.955,67.07,1710907200000,30578
2024-03-21 04:00:00,3789154.0,67.6078,67.81,67.68,67.97,67.15,1710993600000,34041
2024-03-22 04:00:00,3035314.0,68.0975,67.64,68.1,68.37,67.52,1711080000000,33892
2024-03-25 04:00:00,1764237.0,67.6246,68.29,67.36,68.38,67.285,1711339200000,23197
2024-03-26 04:00:00,1903342.0,67.6562,67.47,67.65,67.875,67.28,1711425600000,24365
2024-03-27 04:00:00,2345987.0,67.8565,68.07,68.08,68.28,67.495,1711512000000,26989
2024-03-28 04:00:00,2893120.0,68.4225,68.38,68.43,68.735,68.01,1711598400000,28670
2024-04-01 04:00:00,3389135.0,66.4937,68.35,66.11,68.56,65.64,1711944000000,38318
2024-04-02 04:00:00,4960307.0,65.2554,65.76,65.26,65.86,64.83,1712030400000,47834
2024-04-03 04:00:00,3707913.0,66.0997,65.21,66.0,66.655,65.18,1712116800000,43749
2024-04-04 04:00:00,3506708.0,66.0354,66.54,65.53,66.8314,65.35,1712203200000,37531
2024-04-05 04:00:00,2421461.0,66.7788,65.85,67.06,67.11,65.59,1712289600000,31223
2024-04-08 04:00:00,4441155.0,67.005,67.27,66.73,67.415,66.62,1712548800000,36086
2024-04-09 04:00:00,4819406.0,65.9396,66.78,65.85,66.785,65.31,1712635200000,47598
2024-04-10 04:00:00,2813788.0,65.1759,65.02,65.25,65.66,64.66,1712721600000,37012
2024-04-11 04:00:00,2296684.0,65.3847,65.2,65.59,66.0,64.56,1712808000000,26894
2024-04-12 04:00:00,2997987.0,64.1042,65.3,64.0,65.635,63.53,1712894400000,35028
2024-04-15 04:00:00,2729387.0,63.706,65.34,63.49,65.53,63.11,1713153600000,32703
2024-04-16 04:00:00,2640763.0,64.2402,63.7,64.02,64.75,63.48,1713240000000,38521
2024-04-17 04:00:00,3088786.0,63.4742,64.44,63.46,64.44,62.93,1713326400000,35199
2024-04-18 04:00:00,2294333.0,63.7015,63.49,63.5,64.345,63.37,1713412800000,29127
2024-04-19 04:00:00,3072329.0,63.4265,64.05,63.41,64.34,62.97,1713499200000,34076
2024-04-22 04:00:00,2394341.0,63.1494,63.5,62.93,63.76,62.8,1713758400000,31366
2024-04-23 04:00:00,3002552.0,64.4367,63.41,64.76,64.78,62.83,1713844800000,40427
2024-04-24 04:00:00,2836861.0,64.7318,65.1,64.7,65.49,64.07,1713931200000,40153
2024-04-25 04:00:00,2279731.0,64.5827,64.29,64.8,64.94,63.64,1714017600000,32736
2024-04-26 04:00:00,4071656.0,66.1228,64.86,66.4,66.57,64.71,1714104000000,49816
2024-04-29 04:00:00,4336497.0,67.2649,66.33,67.11,67.845,66.33,1714363200000,50475
2024-04-30 04:00:00,4954846.0,67.3924,66.76,66.75,68.34,66.58,1714449600000,46181
2024-05-01 04:00:00,4582033.0,66.9503,66.86,66.78,67.88,66.37,1714536000000,56027
2024-05-02 04:00:00,8863941.0,76.5924,74.0,77.1,77.88,73.92,1714622400000,103890
2024-05-03 04:00:00,6147936.0,78.5557,78.21,78.89,79.47,76.95,1714708800000,56091
2024-05-06 04:00:00,3253283.0,79.8635,79.72,80.18,80.2,78.77,1714968000000,41310
2024-05-07 04:00:00,4330048.0,79.918,80.26,79.83,80.35,79.61,1715054400000,55074
2024-05-08 04:00:00,4102972.0,81.0963,80.23,81.42,81.47,80.125,1715140800000,51089
