date,volume,vw,open,close,high,low,t,n
2024-01-23 05:00:00,1244302.0,79.5264,80.12,79.48,80.39,79.3041,1705986000000,18698
2024-01-24 05:00:00,2164459.0,79.2779,79.51,79.04,80.02,78.73,1706072400000,27373
2024-01-25 05:00:00,2510834.0,81.3466,79.64,82.37,82.39,79.565,1706158800000,36112
2024-01-26 05:00:00,1802602.0,82.3561,82.69,82.26,82.95,81.89,1706245200000,27499
2024-01-29 05:00:00,1176741.0,81.8486,81.94,82.01,82.25,81.24,1706504400000,21104
2024-01-30 05:00:00,1146412.0,81.3716,81.47,81.0,82.675,80.99,1706590800000,19826
2024-01-31 05:00:00,1672136.0,81.3221,81.38,80.68,82.52,80.641,1706677200000,24494
2024-02-01 05:00:00,1209660.0,81.8111,80.7,82.18,82.32,80.28,1706763600000,23056
2024-02-02 05:00:00,2411721.0,81.3318,81.53,81.27,82.165,80.71,1706850000000,24539
2024-02-05 05:00:00,2064820.0,80.0644,80.19,80.18,80.92,79.655,1707109200000,25282
2024-02-06 05:00:00,1276854.0,80.9745,80.2,80.77,81.79,80.17,1707195600000,21005
2024-02-07 05:00:00,1539087.0,82.2295,80.935,82.34,82.95,80.735,1707282000000,22428
2024-02-08 05:00:00,1436419.0,80.9272,82.5,80.51,82.76,80.48,1707368400000,25000
2024-02-09 05:00:00,3152557.0,79.3875,80.0,79.94,80.2961,78.72,1707454800000,29228
2024-02-12 05:00:00,2008203.0,80.6714,79.87,80.32,81.37,79.785,1707714000000,29006
2024-02-13 05:00:00,3263302.0,79.8387,79.28,80.49,80.52,78.96,1707800400000,32832
2024-02-14 05:00:00,1629130.0,79.4227,80.84,79.38,81.62,79.15,1707886800000,24715
2024-02-15 05:00:00,1761437.0,80.8635,79.75,81.04,81.15,79.75,1707973200000,25767
2024-02-16 05:00:00,1681776.0,81.142,80.9,81.19,81.565,80.58,1708059600000,26622
2024-02-20 05:00:00,2654658.0,81.7321,82.15,82.03,82.24,81.08,1708405200000,35773
2024-02-21 05:00:00,8752736.0,75.7014,74.495,76.78,78.75,73.6,1708491600000,100680
2024-02-22 05:00:00,4770503.0,78.0191,76.78,79.46,79.49,76.25,1708578000000,54140
2024-02-23 05:00:00,2592977.0,80.3357,79.03,80.48,81.02,78.8793,1708664400000,35577
2024-02-26 05:00:00,3272228.0,78.1095,80.13,77.41,80.13,77.38,1708923600000,39987
2024-02-27 05:00:00,3561672.0,74.7707,77.61,74.44,77.75,74.01,1709010000000,47754
2024-02-28 05:00:00,2573015.0,73.3758,73.86,73.21,74.0399,72.94,1709096400000,35600
2024-02-29 05:00:00,5899307.0,75.3913,74.0,75.5,76.01,73.825,1709182800000,46236
2024-03-01 05:00:00,1905886.0,75.7636,75.0,75.88,76.09,74.7876,1709269200000,29616
2024-03-04 05:00:00,2614174.0,76.0054,75.56,76.04,76.3,75.56,1709528400000,24364
2024-03-05 05:00:00,2453917.0,76.5425,75.67,76.72,77.125,75.57,1709614800000,31852
2024-03-06 05:00:00,1739306.0,77.0006,77.29,77.1,77.9,76.31,1709701200000,22575
2024-03-07 05:00:00,1627570.0,79.0165,77.88,78.85,79.54,77.33,1709787600000,24364
2024-03-08 05:00:00,1559202.0,78.9165,78.8,78.75,79.79,78.54,1709874000000,20915
2024-03-11 04:00:00,1864802.0,80.8855,78.64,81.06,81.37,78.64,1710129600000,28854
2024-03-12 04:00:00,1980937.0,81.1891,81.34,81.2,81.67,80.775,1710216000000,22588
2024-03-13 04:00:00,1543189.0,82.395,81.5,82.6,82.82,81.26,1710302400000,25626
2024-03-14 04:00:00,1541010.0,81.542,81.99,81.6,82.73,81.0,1710388800000,24322
