date,volume,vw,open,close,high,low,t,n
2024-01-23 05:00:00,37224140.0,48.3655,48.12,48.89,48.94,47.32,1705986000000,234631
2024-01-24 05:00:00,49375834.0,49.1281,49.17,49.09,49.77,48.265,1706072400000,329459
2024-01-25 05:00:00,84845086.0,48.881,50.0,49.55,50.3,48.97,1706158800000,512972
2024-01-26 05:00:00,127665287.0,43.8693,44.18,43.65,45.41,43.35,1706245200000,731510
2024-01-29 05:00:00,51790863.0,43.3881,43.71,43.84,43.99,42.81,1706504400000,317389
2024-01-30 05:00:00,47958762.0,43.1032,43.67,42.92,43.82,42.89,1706590800000,287526
2024-01-31 05:00:00,51584247.0,42.9291,42.57,43.08,43.785,42.36,1706677200000,342612
2024-02-01 05:00:00,38819855.0,43.1271,43.15,43.36,43.57,42.485,1706763600000,266453
2024-02-02 05:00:00,53683500.0,42.41,43.0,42.6,43.14,41.6,1706850000000,336021
2024-02-05 05:00:00,28890264.0,42.8105,42.62,42.77,43.15,42.425,1707109200000,210306
2024-02-06 05:00:00,34068216.0,42.5728,42.7,42.74,42.78,42.14,1707195600000,200282
2024-02-07 05:00:00,34269246.0,42.8095,42.89,42.78,43.095,42.55,1707282000000,186740
2024-02-08 05:00:00,33206470.0,42.5717,42.72,42.5,42.97,42.33,1707368400000,180804
2024-02-09 05:00:00,51192958.0,43.1489,42.55,43.31,43.52,42.395,1707454800000,249047
2024-02-12 05:00:00,51107349.0,44.2384,43.39,44.03,45.04,43.32,1707714000000,275280
2024-02-13 05:00:00,36622233.0,43.1827,43.0,43.16,43.63,42.76,1707800400000,241636
2024-02-14 05:00:00,36186233.0,44.0342,43.82,44.19,44.29,43.39,1707886800000,197145
2024-02-15 05:00:00,44024507.0,44.4745,44.755,44.05,45.27,44.02,1707973200000,258411
2024-02-16 05:00:00,29975301.0,43.6142,44.03,43.51,44.2199,43.12,1708059600000,210725
2024-02-20 05:00:00,61514136.0,44.2306,44.26,44.52,45.17,43.42,1708405200000,323844
2024-02-21 05:00:00,57714970.0,43.6727,44.48,43.47,44.69,43.08,1708491600000,355260
2024-02-22 05:00:00,62809318.0,43.1521,44.68,42.98,44.68,42.53,1708578000000,407427
2024-02-23 05:00:00,33810714.0,43.0537,43.125,42.99,43.51,42.66,1708664400000,217782
2024-02-26 05:00:00,27035379.0,43.1012,43.5,42.99,43.68,42.82,1708923600000,201968
2024-02-27 05:00:00,25126372.0,42.7982,43.25,42.73,43.265,42.51,1709010000000,189595
2024-02-28 05:00:00,26928470.0,42.1107,42.44,41.99,42.45,41.91,1709096400000,189753
2024-02-29 05:00:00,48875120.0,42.9154,42.37,43.05,43.15,42.3551,1709182800000,208400
2024-03-01 05:00:00,41426072.0,43.7868,43.41,43.82,44.2698,43.13,1709269200000,255179
2024-03-04 05:00:00,59990811.0,45.5599,44.27,45.61,46.61,43.85,1709528400000,411003
2024-03-05 05:00:00,56655135.0,43.4438,44.56,43.16,44.8675,42.69,1709614800000,349216
2024-03-06 05:00:00,52652045.0,44.5203,43.93,44.51,45.505,43.555,1709701200000,329587
2024-03-07 05:00:00,50378153.0,46.0011,45.55,46.15,46.4199,45.18,1709787600000,337123
2024-03-08 05:00:00,54916599.0,44.8175,46.44,44.0,46.6277,44.0,1709874000000,390419
2024-03-11 04:00:00,35050986.0,44.5856,43.87,44.86,44.93,43.66,1710129600000,261034
2024-03-12 04:00:00,31795832.0,45.0704,45.06,45.24,45.265,44.46,1710216000000,221078
2024-03-13 04:00:00,53195932.0,43.7718,44.51,43.23,44.98,43.2,1710302400000,299132
2024-03-14 04:00:00,38100016.0,42.8202,43.23,42.75,43.35,42.51,1710388800000,250473
2024-03-15 04:00:00,66952857.0,42.6771,42.45,42.64,43.15,42.35,1710475200000,240471
2024-03-18 04:00:00,27668282.0,42.8313,43.09,42.71,43.38,42.595,1710734400000,177909
2024-03-19 04:00:00,34672950.0,41.9197,42.25,42.05,42.29,41.44,1710820800000,231907
2024-03-20 04:00:00,74864992.0,42.116,42.99,42.2,43.01,41.41,1710907200000,464505
2024-03-21 04:00:00,50807592.0,42.8319,42.99,42.42,43.6,42.32,1710993600000,301508
2024-03-22 04:00:00,28503057.0,42.4641,42.25,42.57,42.8,42.09,1711080000000,192075
2024-03-25 04:00:00,47276531.0,41.6173,40.89,41.83,42.215,40.57,1711339200000,313037
2024-03-26 04:00:00,39109651.0,42.0106,41.95,41.99,42.265,41.655,1711425600000,224142
2024-03-27 04:00:00,51017828.0,43.3502,42.54,43.77,43.83,42.5,1711512000000,309549
2024-03-28 04:00:00,54204194.0,44.2171,43.76,44.17,44.6,43.71,1711598400000,332512
2024-04-01 04:00:00,31712593.0,44.5926,44.29,44.52,45.41,44.18,1711944000000,214197
