date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,1147774.0,609.1872,603.4,611.36,612.115,601.8,1705554000000,36579
2024-01-19 05:00:00,1334432.0,619.6985,614.88,622.18,624.15,610.97,1705640400000,33456
2024-01-22 05:00:00,954374.0,629.9875,626.55,630.61,632.44,626.0,1705899600000,32888
2024-01-23 05:00:00,853729.0,633.0907,630.59,635.82,636.69,624.14,1705986000000,34439
2024-01-24 05:00:00,1017502.0,638.2109,641.75,636.18,644.73,634.8,1706072400000,31933
2024-01-25 05:00:00,1043447.0,641.4039,649.47,641.49,649.47,637.07,1706158800000,34832
2024-01-26 05:00:00,770859.0,642.0805,642.8,641.36,646.2,639.7058,1706245200000,27635
2024-01-29 05:00:00,869353.0,650.067,643.0,652.88,654.02,642.085,1706504400000,30869
2024-01-30 05:00:00,1114646.0,648.3004,647.89,647.72,652.14,646.13,1706590800000,34379
2024-01-31 05:00:00,1208581.0,632.4804,641.83,631.33,642.525,626.205,1706677200000,38706
2024-02-01 05:00:00,1034142.0,630.7141,631.52,632.86,634.88,623.195,1706763600000,36084
2024-02-02 05:00:00,1287275.0,638.3342,628.22,639.58,642.53,628.22,1706850000000,41005
2024-02-05 05:00:00,1007974.0,638.0997,638.68,640.6,641.86,629.28,1707109200000,31396
2024-02-06 05:00:00,908634.0,635.2424,644.59,635.3,645.85,630.95,1707195600000,28694
2024-02-07 05:00:00,970633.0,644.1608,640.54,643.17,649.31,636.975,1707282000000,28598
2024-02-08 05:00:00,1005760.0,651.5667,646.43,653.07,654.24,643.17,1707368400000,33638
2024-02-09 05:00:00,1005195.0,659.1471,657.53,658.16,662.83,654.69,1707454800000,33900
2024-02-12 05:00:00,1279158.0,656.636,655.72,656.99,659.72,651.89,1707714000000,31443
2024-02-13 05:00:00,1785301.0,637.8288,634.53,638.29,646.4,628.7,1707800400000,47918
2024-02-14 05:00:00,1285456.0,653.7585,642.99,657.13,657.645,642.99,1707886800000,36795
2024-02-15 05:00:00,1438184.0,662.3461,662.66,664.28,664.83,657.0,1707973200000,38861
2024-02-16 05:00:00,1336802.0,656.5417,662.96,655.74,663.0,651.12,1708059600000,41456
2024-02-20 05:00:00,1470601.0,645.5931,650.71,645.91,655.44,641.047,1708405200000,44792
2024-02-21 05:00:00,1146180.0,636.5431,640.5,638.27,643.84,630.52,1708491600000,35721
2024-02-22 05:00:00,1975613.0,655.5982,650.08,657.92,659.38,649.5208,1708578000000,57352
