date,volume,vw,open,close,high,low,t,n
2024-01-23 05:00:00,980772.0,213.5643,216.2,213.53,218.2,211.82,1705986000000,21832
2024-01-24 05:00:00,1219426.0,214.0723,214.58,212.88,217.14,212.5,1706072400000,24987
2024-01-25 05:00:00,849838.0,214.4624,214.8,215.5,215.75,212.66,1706158800000,18906
2024-01-26 05:00:00,1040293.0,216.6154,216.99,216.09,219.465,215.74,1706245200000,20136
2024-01-29 05:00:00,611830.0,217.0475,215.59,218.02,218.2136,214.54,1706504400000,17332
2024-01-30 05:00:00,665137.0,217.6442,217.9,217.08,220.63,216.76,1706590800000,16583
2024-01-31 05:00:00,1716733.0,210.4246,216.13,208.23,217.4,207.91,1706677200000,34423
2024-02-01 05:00:00,920991.0,209.4461,207.9,211.3,211.57,205.38,1706763600000,25000
2024-02-02 05:00:00,586472.0,210.4784,209.56,210.75,212.08,208.465,1706850000000,16178
2024-02-05 05:00:00,1162178.0,210.9058,210.06,210.71,212.385,208.05,1707109200000,22110
2024-02-06 05:00:00,1239295.0,213.7837,210.0,215.41,215.58,209.125,1707195600000,23614
2024-02-07 05:00:00,965513.0,214.5243,216.0,214.34,216.32,212.8,1707282000000,18690
2024-02-08 05:00:00,984172.0,215.2195,213.54,217.0,217.28,212.12,1707368400000,20394
2024-02-09 05:00:00,1143902.0,218.4711,217.55,218.2,222.21,216.18,1707454800000,22841
2024-02-12 05:00:00,1034344.0,218.3927,217.39,217.88,219.9125,217.08,1707714000000,22567
2024-02-13 05:00:00,1353937.0,214.919,214.78,215.27,217.17,212.9,1707800400000,32889
2024-02-14 05:00:00,2798244.0,237.5627,223.0,243.47,243.82,223.0,1707886800000,51726
2024-02-15 05:00:00,1677758.0,241.1032,241.95,241.47,243.61,238.07,1707973200000,32173
2024-02-16 05:00:00,1021421.0,239.7558,241.43,238.6,241.95,237.9,1708059600000,24252
2024-02-20 05:00:00,1015300.0,235.5457,236.68,234.76,237.79,234.12,1708405200000,22833
2024-02-21 05:00:00,1186096.0,235.4599,234.74,237.28,237.73,230.71,1708491600000,23084
2024-02-22 05:00:00,1936813.0,246.4926,238.47,247.33,250.0,238.42,1708578000000,34352
2024-02-23 05:00:00,973678.0,247.5044,248.68,247.26,251.0,245.83,1708664400000,20250
2024-02-26 05:00:00,618355.0,247.5116,247.59,247.48,248.92,246.375,1708923600000,16178
2024-02-27 05:00:00,629452.0,248.6555,248.1,248.84,249.61,245.7,1709010000000,17365
2024-02-28 05:00:00,975028.0,250.0356,248.55,250.31,252.51,248.55,1709096400000,20030
2024-02-29 05:00:00,1393553.0,247.3118,250.02,247.16,250.045,246.19,1709182800000,24204
2024-03-01 05:00:00,1144452.0,250.7867,246.48,252.45,252.95,244.0,1709269200000,24625
2024-03-04 05:00:00,642060.0,252.0694,251.05,251.56,253.33,250.01,1709528400000,17735
2024-03-05 05:00:00,655803.0,248.992,250.0,250.2,251.245,247.09,1709614800000,18647
2024-03-06 05:00:00,843606.0,254.2777,251.45,252.97,257.25,251.07,1709701200000,18644
2024-03-07 05:00:00,872385.0,258.2872,255.27,258.59,259.53,254.31,1709787600000,21625
2024-03-08 05:00:00,842757.0,259.2147,259.64,257.18,261.73,257.17,1709874000000,20654
2024-03-11 04:00:00,994048.0,257.8687,256.24,258.58,259.16,254.475,1710129600000,23587
2024-03-12 04:00:00,839113.0,259.0225,258.0,259.1,261.66,256.49,1710216000000,19713
2024-03-13 04:00:00,812997.0,257.1187,259.67,255.65,261.72,255.4152,1710302400000,19661
2024-03-14 04:00:00,989184.0,254.0147,255.11,254.26,256.755,252.05,1710388800000,20045
2024-03-15 04:00:00,1139793.0,252.6639,250.58,252.71,255.07,250.58,1710475200000,19319
2024-03-18 04:00:00,734346.0,253.4514,253.98,253.87,254.96,252.17,1710734400000,16513
2024-03-19 04:00:00,797580.0,253.7852,253.32,254.16,256.34,251.95,1710820800000,17646
2024-03-20 04:00:00,1242528.0,252.9282,254.19,252.72,255.35,251.22,1710907200000,18106
2024-03-21 04:00:00,1122234.0,254.623,254.13,254.56,256.29,252.31,1710993600000,20295
2024-03-22 04:00:00,646270.0,252.7616,254.8,252.41,254.8,251.19,1711080000000,14687
2024-03-25 04:00:00,688367.0,249.1962,254.1,248.88,254.54,248.125,1711339200000,14947
2024-03-26 04:00:00,880372.0,248.1934,249.85,247.74,250.37,247.48,1711425600000,18620
2024-03-27 04:00:00,747004.0,251.2657,250.32,252.57,252.7,249.045,1711512000000,15513
2024-03-28 04:00:00,771448.0,252.692,252.71,252.89,253.765,247.96,1711598400000,17716
2024-04-01 04:00:00,633299.0,248.7606,253.33,248.87,253.84,247.6,1711944000000,16955
2024-04-02 04:00:00,997506.0,244.6036,246.71,245.51,247.31,242.295,1712030400000,24826
2024-04-03 04:00:00,880154.0,243.205,245.05,242.98,246.0,241.95,1712116800000,23828
2024-04-04 04:00:00,939792.0,241.0278,245.08,238.53,246.04,238.31,1712203200000,22261
2024-04-05 04:00:00,556638.0,241.094,239.02,241.45,241.939,238.03,1712289600000,15354
2024-04-08 04:00:00,495441.0,241.8587,241.48,241.5,242.965,239.58,1712548800000,13912
2024-04-09 04:00:00,548706.0,245.3304,244.35,245.33,247.005,244.25,1712635200000,15624
2024-04-10 04:00:00,534636.0,239.3367,239.06,239.41,241.76,236.53,1712721600000,17643
2024-04-11 04:00:00,658356.0,237.9326,240.34,238.02,242.05,236.87,1712808000000,18457
2024-04-12 04:00:00,932313.0,234.2672,235.35,234.23,236.93,232.86,1712894400000,19807
2024-04-15 04:00:00,609477.0,231.8665,236.93,231.16,236.93,230.14,1713153600000,16904
2024-04-16 04:00:00,920953.0,229.8527,232.32,229.14,232.58,228.755,1713240000000,18980
2024-04-17 04:00:00,705876.0,228.3165,230.56,227.25,231.58,226.875,1713326400000,17633
2024-04-18 04:00:00,631234.0,227.6551,225.19,227.17,230.52,222.71,1713412800000,17572
