date,volume,vw,open,close,high,low,t,n
2024-01-17 05:00:00,5072104.0,160.5487,160.25,160.43,161.3,159.87,1705467600000,78342
2024-01-18 05:00:00,5368502.0,160.677,160.0,161.21,161.37,159.69,1705554000000,84079
2024-01-19 05:00:00,7071320.0,161.3692,161.15,161.68,161.9226,160.28,1705640400000,90733
2024-01-22 05:00:00,6824156.0,162.4669,162.0,162.47,163.58,161.34,1705899600000,100498
2024-01-23 05:00:00,9149777.0,159.3391,159.66,159.81,160.5075,156.91,1705986000000,129513
2024-01-24 05:00:00,7247926.0,158.9878,159.75,158.96,160.6,158.16,1706072400000,94637
2024-01-25 05:00:00,5478898.0,159.208,159.0,159.56,159.62,158.47,1706158800000,85981
2024-01-26 05:00:00,5591930.0,159.6896,160.43,159.5,160.74,159.3601,1706245200000,69564
2024-01-29 05:00:00,6483190.0,159.4511,159.01,159.36,160.0699,158.96,1706504400000,83958
2024-01-30 05:00:00,7200538.0,158.7472,159.35,158.77,159.76,158.13,1706590800000,79373
2024-01-31 05:00:00,8257029.0,159.1116,160.4,158.9,160.62,158.67,1706677200000,91941
2024-02-01 05:00:00,8012122.0,158.0581,158.16,158.36,158.49,157.05,1706763600000,107509
2024-02-02 05:00:00,8295916.0,156.7536,157.97,156.61,158.31,155.94,1706850000000,100997
2024-02-05 05:00:00,9121808.0,155.9581,156.61,155.8,156.89,155.34,1707109200000,113314
2024-02-06 05:00:00,9230611.0,157.5928,155.83,158.06,158.73,155.6,1707195600000,101524
2024-02-07 05:00:00,8690294.0,158.073,157.8,157.98,159.37,157.69,1707282000000,97094
2024-02-08 05:00:00,9754960.0,156.0091,157.34,156.4,157.34,155.31,1707368400000,119356
2024-02-09 05:00:00,6529202.0,156.5727,156.27,156.76,157.2,155.67,1707454800000,91227
2024-02-12 05:00:00,6701508.0,157.653,156.58,157.85,158.41,156.35,1707714000000,83380
2024-02-13 05:00:00,8621022.0,156.5171,157.64,156.47,158.45,155.75,1707800400000,108241
2024-02-14 05:00:00,9098805.0,155.5189,156.35,155.74,156.46,154.84,1707886800000,107818
2024-02-15 05:00:00,7462529.0,157.6893,155.98,157.92,158.475,155.89,1707973200000,98734
2024-02-16 05:00:00,8540961.0,156.7374,156.6,156.55,157.255,155.67,1708059600000,106734
2024-02-20 05:00:00,9501742.0,157.7961,156.56,157.86,158.61,156.44,1708405200000,118940
2024-02-21 05:00:00,7473300.0,158.1948,158.02,158.68,158.69,157.1312,1708491600000,93538
2024-02-22 05:00:00,8065010.0,159.9104,158.98,160.45,160.74,157.77,1708578000000,104753
2024-02-23 05:00:00,6725963.0,161.6233,160.88,161.84,162.25,160.16,1708664400000,91898
2024-02-26 05:00:00,5465417.0,160.9361,161.8,160.79,162.01,160.57,1708923600000,81733
2024-02-27 05:00:00,5078650.0,160.6375,160.34,160.98,161.04,159.64,1709010000000,82449
2024-02-28 05:00:00,6071076.0,161.1085,161.0,161.55,161.61,160.29,1709096400000,85345
2024-02-29 05:00:00,9849270.0,161.5253,162.0,161.38,162.19,160.94,1709182800000,106582
2024-03-01 05:00:00,5670135.0,162.1157,161.83,162.12,162.57,161.09,1709269200000,94520
2024-03-04 05:00:00,8533083.0,159.4082,161.32,159.84,161.61,158.27,1709528400000,128126
2024-03-05 05:00:00,8298182.0,159.8841,160.62,159.97,161.24,159.2,1709614800000,114037
2024-03-06 05:00:00,5773683.0,159.7938,159.46,159.34,160.93,159.22,1709701200000,91129
2024-03-07 05:00:00,5188726.0,159.0053,160.0,158.87,160.36,158.24,1709787600000,84428
2024-03-08 05:00:00,5283951.0,159.5271,158.87,159.52,160.39,158.425,1709874000000,79465
2024-03-11 04:00:00,4620826.0,160.5751,159.49,161.23,161.32,158.88,1710129600000,82537
2024-03-12 04:00:00,8018736.0,162.3658,161.58,162.74,163.11,161.13,1710216000000,98785
2024-03-13 04:00:00,6260000.0,161.4711,162.53,161.1,162.68,159.81,1710302400000,92930
2024-03-14 04:00:00,6988264.0,159.5471,160.94,159.21,161.54,158.69,1710388800000,108130
2024-03-15 04:00:00,13165500.0,158.0601,158.06,158.18,159.19,157.1,1710475200000,110791
2024-03-18 04:00:00,6602255.0,157.0063,158.57,156.76,158.69,156.5,1710734400000,95296
2024-03-19 04:00:00,7840624.0,156.2388,156.67,156.21,156.86,155.66,1710820800000,100340
2024-03-20 04:00:00,5982304.0,155.6826,155.7,155.76,156.44,155.21,1710907200000,89440
2024-03-21 04:00:00,5915777.0,156.035,155.59,155.75,156.95,155.1,1710993600000,83979
2024-03-22 04:00:00,7248622.0,155.3848,155.69,155.23,156.36,155.11,1711080000000,79545
2024-03-25 04:00:00,7498100.0,155.2961,155.4,155.22,155.9836,154.9,1711339200000,86746
2024-03-26 04:00:00,6864099.0,155.6001,155.61,155.77,156.23,154.76,1711425600000,88035
2024-03-27 04:00:00,8461600.0,157.2759,155.99,157.96,158.22,155.44,1711512000000,114821
2024-03-28 04:00:00,6181503.0,158.3568,158.2,158.19,159.14,158.11,1711598400000,80074
2024-04-01 04:00:00,4364699.0,157.6159,157.72,157.78,158.15,156.77,1711944000000,84665
2024-04-02 04:00:00,6102497.0,157.2477,156.57,157.73,157.83,155.95,1712030400000,87159
2024-04-03 04:00:00,8098242.0,155.0381,157.79,154.26,158.05,154.25,1712116800000,117395
2024-04-04 04:00:00,6947423.0,153.4653,155.31,152.5,155.5,152.41,1712203200000,104362
2024-04-05 04:00:00,6783020.0,152.3216,152.03,152.39,153.01,151.61,1712289600000,116073
2024-04-08 04:00:00,5935415.0,152.0254,151.99,151.59,153.035,151.56,1712548800000,101957
2024-04-09 04:00:00,6135556.0,152.0571,151.55,152.29,152.5301,150.94,1712635200000,95649
2024-04-10 04:00:00,6809519.0,150.3898,151.53,150.2,151.82,149.76,1712721600000,114751
2024-04-11 04:00:00,8374434.0,149.0523,150.8,148.79,150.87,148.39,1712808000000,111732
2024-04-12 04:00:00,7100178.0,147.8182,148.06,147.52,149.065,147.15,1712894400000,113964
2024-04-15 04:00:00,8502266.0,148.1765,148.37,147.59,149.49,147.37,1713153600000,129407
2024-04-16 04:00:00,12774859.0,144.7242,145.01,144.45,146.25,143.39,1713240000000,181056
2024-04-17 04:00:00,9378059.0,144.3132,145.0,144.77,145.41,143.54,1713326400000,131220
2024-04-18 04:00:00,9887704.0,145.0669,144.98,145.74,145.8,143.13,1713412800000,126465
2024-04-19 04:00:00,9750751.0,147.2389,146.15,147.91,148.13,144.54,1713499200000,115501
2024-04-22 04:00:00,10118694.0,149.1045,148.51,149.12,150.27,147.3,1713758400000,130990
2024-04-23 04:00:00,10110442.0,149.5833,149.86,149.56,150.49,148.2,1713844800000,118420
2024-04-24 04:00:00,9756259.0,148.2393,148.14,148.53,148.99,146.86,1713931200000,132487
2024-04-25 04:00:00,7642732.0,146.9652,149.37,146.82,149.58,146.33,1714017600000,119567
2024-04-26 04:00:00,6182982.0,146.3405,146.7,146.14,147.175,145.95,1714104000000,95314
2024-04-29 04:00:00,6461588.0,146.541,146.14,146.82,147.22,145.985,1714363200000,104462
2024-04-30 04:00:00,8817719.0,145.1395,146.88,144.59,146.88,144.53,1714449600000,115755
2024-05-01 04:00:00,14473711.0,150.5161,148.735,151.18,151.85,147.62,1714536000000,178898
2024-05-02 04:00:00,8459796.0,149.8913,152.04,149.92,152.33,149.14,1714622400000,116034
2024-05-03 04:00:00,6532718.0,148.9222,149.89,149.27,149.89,147.82,1714708800000,100687
2024-05-06 04:00:00,5042757.0,148.6076,149.87,148.58,150.05,147.91,1714968000000,96385
2024-05-07 04:00:00,7333730.0,148.842,149.38,148.72,149.73,148.45,1715054400000,95889
2024-05-08 04:00:00,7735148.0,149.037,149.12,148.95,149.73,148.7,1715140800000,94302
2024-05-09 04:00:00,6546153.0,149.6971,148.98,149.85,150.1,148.89,1715227200000,87136
2024-05-10 04:00:00,5710566.0,149.6664,150.0,149.91,150.09,149.19,1715313600000,86365
2024-05-13 04:00:00,5628467.0,150.7858,150.04,151.22,152.0,149.705,1715572800000,96628
2024-05-14 04:00:00,8254171.0,151.3007,151.85,151.38,152.21,150.7,1715659200000,83785
2024-05-15 04:00:00,5547955.0,152.333,151.82,152.67,152.95,151.3,1715745600000,88439
2024-05-16 04:00:00,7590959.0,153.8471,153.0,154.28,154.38,152.33,1715832000000,98289
2024-05-17 04:00:00,6521794.0,154.4505,154.86,154.64,154.86,153.7129,1715918400000,85889
2024-05-20 04:00:00,7742280.0,151.7465,153.1,151.27,153.39,151.26,1716177600000,100400
2024-05-21 04:00:00,5492354.0,151.2331,151.78,151.24,152.585,150.785,1716264000000,82504
2024-05-22 04:00:00,6609788.0,153.152,150.84,153.5,154.08,150.32,1716350400000,98676
2024-05-23 04:00:00,8000422.0,150.3853,152.75,149.7,152.84,149.375,1716436800000,108181
2024-05-24 04:00:00,9520576.0,147.602,149.53,146.97,149.8139,146.76,1716523200000,114101
2024-05-28 04:00:00,10499829.0,144.7681,146.79,144.38,146.79,144.1502,1716868800000,142811
2024-05-29 04:00:00,8263810.0,144.4873,143.82,144.44,145.415,143.71,1716955200000,110501
2024-05-30 04:00:00,8491111.0,145.0492,144.62,145.28,145.61,144.02,1717041600000,97598
2024-05-31 04:00:00,14621203.0,146.705,145.57,146.67,147.48,145.19,1717128000000,111988
2024-06-03 04:00:00,7329241.0,147.8343,147.25,147.74,148.9,146.77,1717387200000,114123
2024-06-04 04:00:00,8876441.0,147.4223,147.48,147.8,148.31,146.19,1717473600000,109644
2024-06-05 04:00:00,5891299.0,146.3907,147.97,145.97,147.99,145.855,1717560000000,101166
2024-06-06 04:00:00,5016301.0,146.3689,145.5,146.42,147.0,144.66,1717646400000,90091
2024-06-07 04:00:00,5111626.0,147.344,146.68,147.08,148.3,146.34,1717732800000,72892
2024-06-10 04:00:00,5751309.0,146.7651,146.53,147.13,147.56,145.6,1717992000000,100925
2024-06-11 04:00:00,5661236.0,146.4892,146.81,146.76,147.16,145.44,1718078400000,90590
2024-06-12 04:00:00,6180493.0,145.6246,147.06,145.41,147.21,144.78,1718164800000,108258
2024-06-13 04:00:00,6840374.0,145.2265,145.07,145.45,146.0,143.88,1718251200000,89673
