date,volume,vw,open,close,high,low,t,n
2024-01-23 05:00:00,371115.0,133.8859,134.29,134.11,134.4199,133.42,1705986000000,9773
2024-01-24 05:00:00,575661.0,134.5586,134.8,134.09,135.38,133.88,1706072400000,13269
2024-01-25 05:00:00,571666.0,135.2417,135.17,135.71,135.79,134.355,1706158800000,14521
2024-01-26 05:00:00,556538.0,136.9465,136.25,137.19,137.335,136.22,1706245200000,14836
2024-01-29 05:00:00,510407.0,137.2832,137.38,137.91,137.99,136.3,1706504400000,12506
2024-01-30 05:00:00,901201.0,138.2893,137.87,138.31,138.785,137.48,1706590800000,16423
2024-01-31 05:00:00,866462.0,135.2337,138.37,134.77,138.37,134.01,1706677200000,20562
2024-02-01 05:00:00,1040904.0,136.3719,134.8,136.95,137.26,134.54,1706763600000,19301
2024-02-02 05:00:00,1070525.0,138.0369,136.37,138.3,138.845,135.87,1706850000000,16909
2024-02-05 05:00:00,1281874.0,137.1742,137.27,137.0,137.925,136.64,1707109200000,21810
2024-02-06 05:00:00,1249517.0,140.0397,140.05,139.91,143.93,138.39,1707195600000,24349
2024-02-07 05:00:00,1128654.0,142.971,141.41,143.58,143.81,141.0,1707282000000,23001
2024-02-08 05:00:00,697636.0,143.0083,143.22,143.17,143.8799,141.98,1707368400000,16344
2024-02-09 05:00:00,758379.0,144.6335,143.22,145.52,145.545,143.09,1707454800000,14921
2024-02-12 05:00:00,566711.0,145.424,145.52,145.52,145.77,144.76,1707714000000,14027
2024-02-13 05:00:00,723857.0,143.6591,144.61,143.06,145.28,142.54,1707800400000,16242
2024-02-14 05:00:00,1101751.0,144.4362,144.13,144.29,145.12,143.72,1707886800000,21270
2024-02-15 05:00:00,766925.0,146.6596,144.79,147.3,147.3,144.79,1707973200000,16126
2024-02-16 05:00:00,900914.0,148.0337,147.3,147.54,149.171,146.43,1708059600000,18432
2024-02-20 05:00:00,529166.0,145.933,146.26,145.37,147.35,144.9601,1708405200000,14857
2024-02-21 05:00:00,818740.0,144.6915,145.23,144.56,146.24,143.69,1708491600000,17143
2024-02-22 05:00:00,735059.0,145.3282,145.19,145.94,146.24,143.9076,1708578000000,16417
2024-02-23 05:00:00,328340.0,146.8267,146.12,146.99,147.335,145.82,1708664400000,8920
2024-02-26 05:00:00,767238.0,146.5973,147.08,146.48,147.855,146.12,1708923600000,11985
2024-02-27 05:00:00,418923.0,146.8886,147.03,147.29,147.75,145.92,1709010000000,9395
2024-02-28 05:00:00,460237.0,147.4714,147.44,147.13,148.32,146.925,1709096400000,11641
2024-02-29 05:00:00,927199.0,146.593,147.35,146.65,147.94,145.98,1709182800000,14217
2024-03-01 05:00:00,477193.0,146.6122,146.65,146.62,147.0,145.7,1709269200000,12000
2024-03-04 05:00:00,535079.0,147.0597,146.62,147.14,147.92,145.52,1709528400000,13614
2024-03-05 05:00:00,496786.0,147.3909,146.53,147.12,148.14,146.35,1709614800000,13116
2024-03-06 05:00:00,410053.0,146.7835,147.6,146.92,147.725,145.8401,1709701200000,11233
2024-03-07 05:00:00,502839.0,148.2145,147.51,148.73,148.81,147.19,1709787600000,10203
2024-03-08 05:00:00,394807.0,147.4444,149.0,146.93,149.5,146.62,1709874000000,10802
2024-03-11 04:00:00,452969.0,147.3118,146.93,147.85,147.91,145.95,1710129600000,10867
2024-03-12 04:00:00,385499.0,148.7794,148.13,149.18,149.43,147.22,1710216000000,10658
2024-03-13 04:00:00,472392.0,150.7479,149.36,150.64,151.72,149.36,1710302400000,12796
2024-03-14 04:00:00,543092.0,149.0883,149.57,149.33,149.945,147.81,1710388800000,12751
2024-03-15 04:00:00,1341324.0,148.927,148.57,148.97,150.58,148.29,1710475200000,12379
2024-03-18 04:00:00,416133.0,148.254,148.97,147.92,149.37,147.65,1710734400000,10101
2024-03-19 04:00:00,398360.0,149.4763,148.0,149.77,149.83,147.53,1710820800000,9570
2024-03-20 04:00:00,506136.0,150.6873,149.73,150.61,151.28,149.27,1710907200000,9413
2024-03-21 04:00:00,401827.0,151.4771,151.28,151.42,152.4999,150.77,1710993600000,11372
2024-03-22 04:00:00,425523.0,150.1459,151.58,150.03,151.58,149.61,1711080000000,10988
2024-03-25 04:00:00,593796.0,149.9501,150.17,150.08,150.27,149.04,1711339200000,10271
2024-03-26 04:00:00,462738.0,150.6937,150.77,150.38,151.575,150.18,1711425600000,11648
2024-03-27 04:00:00,600380.0,152.5723,151.42,152.93,153.01,151.34,1711512000000,11452
2024-03-28 04:00:00,496695.0,153.8285,152.99,153.73,154.5,152.715,1711598400000,11264
2024-04-01 04:00:00,413606.0,151.5548,153.2,151.23,153.2,150.73,1711944000000,10774
2024-04-02 04:00:00,718144.0,150.0068,151.46,149.71,151.505,149.3,1712030400000,15871
2024-04-03 04:00:00,771590.0,150.1077,149.78,149.87,150.94,149.51,1712116800000,13590
2024-04-04 04:00:00,587679.0,149.7908,151.23,149.14,152.0,148.621,1712203200000,12994
2024-04-05 04:00:00,540234.0,148.3599,149.24,147.92,149.83,147.81,1712289600000,13196
2024-04-08 04:00:00,604145.0,146.843,148.33,146.12,149.11,145.9888,1712548800000,14917
2024-04-09 04:00:00,433891.0,146.5522,146.93,146.72,147.26,145.16,1712635200000,11116
2024-04-10 04:00:00,291860.0,144.6056,144.72,144.34,145.61,144.3,1712721600000,9541
2024-04-11 04:00:00,604741.0,145.3367,144.34,145.89,146.73,142.62,1712808000000,13437
2024-04-12 04:00:00,477372.0,144.7151,144.9,144.65,145.92,143.84,1712894400000,11765
2024-04-15 04:00:00,524961.0,144.4306,146.34,143.98,146.34,143.68,1713153600000,12592
2024-04-16 04:00:00,589256.0,144.6949,144.0,144.98,145.22,143.4754,1713240000000,13859
2024-04-17 04:00:00,552945.0,142.8946,145.91,142.97,145.91,141.57,1713326400000,11034
2024-04-18 04:00:00,311782.0,143.5932,143.5,143.5,144.78,142.95,1713412800000,9887
2024-04-19 04:00:00,382757.0,143.8729,144.17,143.83,144.89,143.1501,1713499200000,10733
2024-04-22 04:00:00,324237.0,144.2631,144.86,144.11,145.2,143.67,1713758400000,10172
2024-04-23 04:00:00,345363.0,144.7167,144.61,144.63,145.38,144.4,1713844800000,9859
2024-04-24 04:00:00,350128.0,144.0332,144.18,143.98,144.97,143.16,1713931200000,10588
2024-04-25 04:00:00,282535.0,143.6425,143.3,144.18,144.19,141.99,1714017600000,9757
2024-04-26 04:00:00,391169.0,144.9629,143.94,144.91,145.61,143.94,1714104000000,9889
2024-04-29 04:00:00,596528.0,145.5382,144.89,145.85,145.95,144.89,1714363200000,11597
2024-04-30 04:00:00,458876.0,144.1722,145.31,143.53,145.825,143.4,1714449600000,10600
2024-05-01 04:00:00,496417.0,143.8187,143.86,143.19,144.985,143.04,1714536000000,12404
2024-05-02 04:00:00,423633.0,144.2196,143.61,144.93,145.0,141.935,1714622400000,11393
2024-05-03 04:00:00,668452.0,147.3815,145.88,148.1,148.33,144.85,1714708800000,16401
2024-05-06 04:00:00,1085793.0,149.2682,149.41,149.08,151.0,148.5,1714968000000,21647
2024-05-07 04:00:00,1386745.0,142.4745,148.01,141.64,149.02,140.15,1715054400000,29056
2024-05-08 04:00:00,1291417.0,138.6455,139.0,138.51,140.8,137.3564,1715140800000,26597
2024-05-09 04:00:00,1086217.0,139.706,138.71,139.79,140.62,137.99,1715227200000,18363
2024-05-10 04:00:00,472520.0,139.4019,140.62,139.24,140.73,138.74,1715313600000,11892
2024-05-13 04:00:00,503971.0,138.644,139.89,138.32,139.95,138.1,1715572800000,12005
2024-05-14 04:00:00,399904.0,137.9138,138.98,137.87,139.18,137.46,1715659200000,12420
2024-05-15 04:00:00,549378.0,137.6596,138.57,137.71,138.57,137.04,1715745600000,14373
2024-05-16 04:00:00,739309.0,137.5117,137.28,137.75,138.09,135.8,1715832000000,13886
2024-05-17 04:00:00,482349.0,136.6333,138.02,136.44,138.095,135.94,1715918400000,12174
2024-05-20 04:00:00,394735.0,136.8586,136.43,136.89,137.48,136.07,1716177600000,10682
2024-05-21 04:00:00,720726.0,137.5046,136.93,138.79,138.92,135.66,1716264000000,12460
2024-05-22 04:00:00,718358.0,137.8412,138.75,137.87,138.8951,137.26,1716350400000,15105
2024-05-23 04:00:00,794667.0,138.6724,138.07,138.52,139.77,137.36,1716436800000,12960
2024-05-24 04:00:00,532160.0,140.0152,139.25,140.5,140.635,138.15,1716523200000,13012
2024-05-28 04:00:00,674645.0,138.2613,140.81,137.51,140.875,137.345,1716868800000,13385
2024-05-29 04:00:00,583135.0,135.0889,136.56,134.12,136.93,134.1,1716955200000,16486
2024-05-30 04:00:00,898003.0,136.7613,134.0,137.37,137.65,133.14,1717041600000,18367
2024-05-31 04:00:00,1230925.0,138.3482,137.83,139.34,139.54,136.345,1717128000000,19849
2024-06-03 04:00:00,595167.0,137.6851,139.43,137.98,139.4806,136.42,1717387200000,11869
2024-06-04 04:00:00,682064.0,137.8863,137.67,138.62,138.67,136.47,1717473600000,12318
2024-06-05 04:00:00,716513.0,138.1389,138.52,138.3,139.1,136.88,1717560000000,14452
2024-06-06 04:00:00,517084.0,138.0504,137.57,138.3,138.51,136.85,1717646400000,10809
2024-06-07 04:00:00,505088.0,139.3058,138.3,139.06,140.59,138.175,1717732800000,12499
2024-06-10 04:00:00,551563.0,139.7046,138.83,140.02,140.16,138.57,1717992000000,15780
2024-06-11 04:00:00,522263.0,139.0535,139.42,139.49,139.53,138.02,1718078400000,12609
2024-06-12 04:00:00,648812.0,139.6442,140.4,139.82,141.0,138.92,1718164800000,13177
2024-06-13 04:00:00,571225.0,138.6627,139.7,139.19,139.7,137.41,1718251200000,12107
2024-06-14 04:00:00,703115.0,137.9241,138.46,138.2,139.66,136.875,1718337600000,12536
2024-06-17 04:00:00,449279.0,140.1169,138.0,140.74,140.93,137.7,1718596800000,14370
2024-06-18 04:00:00,567609.0,141.0713,140.92,141.0,141.7069,140.5219,1718683200000,14417
2024-06-20 04:00:00,953170.0,140.9451,141.0,141.19,141.665,140.44,1718856000000,15080
2024-06-21 04:00:00,1267541.0,140.7468,141.0,140.96,141.76,139.285,1718942400000,17480
2024-06-24 04:00:00,822931.0,141.9554,141.28,142.09,142.85,140.67,1719201600000,16175
2024-06-25 04:00:00,922027.0,140.0823,141.9,139.93,142.08,139.115,1719288000000,15242
2024-06-26 04:00:00,791856.0,138.9843,139.0,139.07,139.63,138.345,1719374400000,11888
2024-06-27 04:00:00,1076646.0,139.1417,139.6,139.45,140.14,138.4,1719460800000,18326
2024-06-28 04:00:00,1305354.0,139.8131,140.0,139.71,141.73,138.76,1719547200000,16268
2024-07-01 04:00:00,660686.0,138.4717,139.94,138.3,140.1965,137.67,1719806400000,15690
2024-07-02 04:00:00,456940.0,137.7226,138.31,137.77,138.31,136.92,1719892800000,10231
2024-07-03 04:00:00,515410.0,138.3257,137.28,138.49,138.99,137.195,1719979200000,8916
2024-07-05 04:00:00,913880.0,136.0563,137.28,136.74,137.405,134.24,1720152000000,16866
2024-07-08 04:00:00,355174.0,137.7435,137.25,137.66,138.27,137.195,1720411200000,9540
2024-07-09 04:00:00,300481.0,136.7207,137.52,136.44,137.7,136.355,1720497600000,8589
2024-07-10 04:00:00,339790.0,137.9028,136.67,138.57,138.652,135.94,1720584000000,9368
2024-07-11 04:00:00,476346.0,140.7111,139.09,141.11,141.2275,138.58,1720670400000,12685
2024-07-12 04:00:00,597501.0,143.9127,142.21,143.93,144.59,141.56,1720756800000,14320
2024-07-15 04:00:00,639285.0,144.7281,144.0,144.7,145.31,143.84,1721016000000,12056
