date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,31605626.0,17.2873,17.32,17.31,17.51,17.1,1705554000000,101632
2024-01-19 05:00:00,19017963.0,17.2065,17.38,17.2,17.38,17.1,1705640400000,67789
2024-01-22 05:00:00,13142413.0,17.1603,17.21,17.16,17.29,17.09,1705899600000,50060
2024-01-23 05:00:00,14416910.0,17.1028,17.15,17.08,17.22,17.04,1705986000000,49507
2024-01-24 05:00:00,25500494.0,16.9266,17.14,16.89,17.15,16.85,1706072400000,71560
2024-01-25 05:00:00,23723818.0,17.2139,17.025,17.33,17.34,16.945,1706158800000,59726
2024-01-26 05:00:00,14265381.0,17.3973,17.33,17.44,17.47,17.3,1706245200000,51896
2024-01-29 05:00:00,13665898.0,17.3296,17.44,17.37,17.49,17.25,1706504400000,53841
2024-01-30 05:00:00,12446183.0,17.1523,17.05,17.21,17.23,17.005,1706590800000,47237
2024-01-31 05:00:00,16870613.0,17.0411,17.22,16.92,17.25,16.9,1706677200000,52646
2024-02-01 05:00:00,16473963.0,17.0262,16.92,17.03,17.19,16.86,1706763600000,52333
2024-02-02 05:00:00,20964522.0,16.9359,16.99,16.96,17.05,16.74,1706850000000,54002
2024-02-05 05:00:00,14057983.0,16.7042,16.85,16.67,16.85,16.62,1707109200000,43868
2024-02-06 05:00:00,12701655.0,16.6696,16.7,16.69,16.73,16.6,1707195600000,47265
2024-02-07 05:00:00,16670782.0,16.6264,16.74,16.65,16.77,16.52,1707282000000,59165
2024-02-08 05:00:00,17003992.0,16.6328,16.63,16.63,16.73,16.57,1707368400000,44824
2024-02-09 05:00:00,9323427.0,16.6021,16.63,16.61,16.7201,16.53,1707454800000,34944
2024-02-12 05:00:00,11205608.0,16.7418,16.62,16.78,16.84,16.57,1707714000000,44065
2024-02-13 05:00:00,15183348.0,16.5655,16.74,16.57,16.89,16.47,1707800400000,58182
2024-02-14 05:00:00,14250206.0,16.562,16.62,16.57,16.645,16.49,1707886800000,52920
2024-02-15 05:00:00,18223207.0,16.9139,16.53,16.97,17.04,16.51,1707973200000,63734
2024-02-16 05:00:00,17603888.0,17.1039,16.97,17.11,17.18,16.91,1708059600000,48489
2024-02-20 05:00:00,13300552.0,17.0723,17.12,17.06,17.22,16.995,1708405200000,39848
2024-02-21 05:00:00,10845606.0,17.3446,17.14,17.42,17.44,17.09,1708491600000,44831
2024-02-22 05:00:00,13092619.0,17.2385,17.25,17.26,17.33,17.13,1708578000000,51798
2024-02-23 05:00:00,9892674.0,17.2618,17.2,17.25,17.36,17.17,1708664400000,32769
2024-02-26 05:00:00,8172229.0,17.1542,17.2,17.13,17.32,17.09,1708923600000,33499
2024-02-27 05:00:00,12062783.0,17.1369,17.21,17.17,17.23,17.05,1709010000000,41455
2024-02-28 05:00:00,11414814.0,17.139,17.19,17.15,17.258,17.02,1709096400000,42368
2024-02-29 05:00:00,15578910.0,17.3862,17.24,17.39,17.44,17.185,1709182800000,46474
2024-03-01 05:00:00,10955663.0,17.4613,17.38,17.46,17.5,17.335,1709269200000,41972
2024-03-04 05:00:00,10815763.0,17.5493,17.45,17.57,17.61,17.42,1709528400000,51610
2024-03-05 05:00:00,11811719.0,17.7502,17.59,17.72,17.85,17.57,1709614800000,43263
2024-03-06 05:00:00,10856515.0,17.8404,17.77,17.82,17.92,17.75,1709701200000,48677
2024-03-07 05:00:00,10735013.0,17.8848,17.87,17.87,17.95,17.82,1709787600000,41471
2024-03-08 05:00:00,11290692.0,17.8275,17.85,17.83,17.93,17.74,1709874000000,41092
2024-03-11 04:00:00,11397482.0,17.8831,17.83,17.97,17.98,17.755,1710129600000,48939
2024-03-12 04:00:00,8024651.0,17.9502,17.93,17.94,18.02,17.89,1710216000000,40101
2024-03-13 04:00:00,18206816.0,17.9196,18.03,17.89,18.105,17.86,1710302400000,43541
2024-03-14 04:00:00,20940805.0,17.564,17.81,17.56,17.87,17.45,1710388800000,62708
2024-03-15 04:00:00,30086927.0,17.6136,17.5,17.6,17.79,17.48,1710475200000,53028
2024-03-18 04:00:00,16906787.0,17.6242,17.64,17.64,17.67,17.515,1710734400000,38848
2024-03-19 04:00:00,18142815.0,17.8832,17.68,17.93,17.94,17.66,1710820800000,42876
2024-03-20 04:00:00,11145342.0,18.0014,17.86,18.03,18.12,17.83,1710907200000,45441
2024-03-21 04:00:00,13742522.0,18.1334,18.05,18.11,18.31,18.01,1710993600000,52261
2024-03-22 04:00:00,10169282.0,18.0857,18.15,18.06,18.22,18.05,1711080000000,39879
2024-03-25 04:00:00,16549677.0,17.9646,18.04,17.97,18.14,17.89,1711339200000,45811
2024-03-26 04:00:00,9156143.0,17.937,18.0,17.91,18.015,17.9,1711425600000,38102
2024-03-27 04:00:00,8698995.0,18.0847,17.96,18.15,18.17,17.89,1711512000000,34366
2024-03-28 04:00:00,15939374.0,18.3225,18.24,18.34,18.43,18.15,1711598400000,47431
2024-04-01 04:00:00,10873283.0,18.3931,18.37,18.41,18.48,18.1712,1711944000000,49198
2024-04-02 04:00:00,10157828.0,18.4117,18.45,18.42,18.52,18.3,1712030400000,47732
2024-04-03 04:00:00,11384693.0,18.5074,18.46,18.55,18.57,18.435,1712116800000,42027
2024-04-04 04:00:00,8949612.0,18.5142,18.61,18.43,18.72,18.365,1712203200000,38160
2024-04-05 04:00:00,9872614.0,18.4154,18.43,18.46,18.495,18.215,1712289600000,47164
2024-04-08 04:00:00,11639741.0,18.482,18.48,18.36,18.62,18.35,1712548800000,53270
2024-04-09 04:00:00,8291340.0,18.4414,18.41,18.48,18.5,18.37,1712635200000,36974
2024-04-10 04:00:00,10675646.0,18.2825,18.35,18.27,18.39,18.19,1712721600000,51071
2024-04-11 04:00:00,12520490.0,18.2785,18.3,18.35,18.37,18.12,1712808000000,50815
2024-04-12 04:00:00,15506257.0,18.2582,18.39,18.13,18.54,18.065,1712894400000,58511
2024-04-15 04:00:00,10025970.0,18.0479,18.24,17.97,18.335,17.915,1713153600000,45873
2024-04-16 04:00:00,16201568.0,17.7148,17.97,17.69,18.04,17.61,1713240000000,65760
2024-04-17 04:00:00,13072557.0,17.7932,17.77,17.76,17.93,17.66,1713326400000,46200
2024-04-18 04:00:00,26119477.0,18.1855,18.0,18.21,18.355,17.95,1713412800000,102463
2024-04-19 04:00:00,25698433.0,18.7626,18.31,18.84,18.9,18.255,1713499200000,87083
2024-04-22 04:00:00,16188156.0,18.7923,18.79,18.82,18.92,18.57,1713758400000,59081
2024-04-23 04:00:00,12914099.0,18.7783,18.83,18.76,18.89,18.69,1713844800000,58317
2024-04-24 04:00:00,12485683.0,18.7387,18.62,18.81,18.84,18.52,1713931200000,55635
2024-04-25 04:00:00,17447506.0,18.7953,18.81,18.8,18.8894,18.63,1714017600000,70783
2024-04-26 04:00:00,9415524.0,18.6925,18.78,18.68,18.78,18.63,1714104000000,39218
2024-04-29 04:00:00,10295125.0,18.5451,18.4,18.6,18.605,18.4,1714363200000,42471
2024-04-30 04:00:00,16059151.0,18.3758,18.55,18.28,18.56,18.26,1714449600000,49902
2024-05-01 04:00:00,18135945.0,18.2428,18.33,18.23,18.41,18.13,1714536000000,63531
2024-05-02 04:00:00,14689915.0,18.4081,18.35,18.46,18.58,18.18,1714622400000,56027
2024-05-03 04:00:00,12409404.0,18.4893,18.53,18.57,18.58,18.38,1714708800000,47407
2024-05-06 04:00:00,11963244.0,18.6083,18.6,18.61,18.77,18.49,1714968000000,55255
2024-05-07 04:00:00,11863923.0,18.7885,18.7,18.77,18.9,18.67,1715054400000,46082
2024-05-08 04:00:00,11640576.0,18.8198,18.7,18.81,18.89,18.65,1715140800000,51061
2024-05-09 04:00:00,8029021.0,18.9536,18.82,19.01,19.03,18.81,1715227200000,38579
2024-05-10 04:00:00,8141296.0,19.0478,19.16,19.08,19.18,18.95,1715313600000,36014
2024-05-13 04:00:00,12389175.0,19.1447,19.12,19.15,19.24,19.05,1715572800000,41432
2024-05-14 04:00:00,14640536.0,19.3626,19.14,19.41,19.45,19.14,1715659200000,54188
2024-05-15 04:00:00,13622659.0,19.509,19.41,19.54,19.63,19.37,1715745600000,57901
