date,volume,vw,open,close,high,low,t,n
2024-01-17 05:00:00,2690522.0,427.8346,425.48,427.42,430.3793,425.48,1705467600000,50791
2024-01-18 05:00:00,2075759.0,429.9274,428.64,430.72,431.22,427.45,1705554000000,48055
2024-01-19 05:00:00,2400409.0,435.1158,432.55,436.78,437.07,429.34,1705640400000,54462
2024-01-22 05:00:00,2715618.0,439.4756,438.98,439.75,440.94,437.26,1705899600000,50175
2024-01-23 05:00:00,2328662.0,438.7891,440.27,438.76,440.6,437.86,1705986000000,46013
2024-01-24 05:00:00,2725669.0,439.0624,438.53,438.7,440.925,435.755,1706072400000,57358
2024-01-25 05:00:00,2977825.0,436.6933,436.0,436.8,438.63,434.46,1706158800000,65034
2024-01-26 05:00:00,2725548.0,437.6907,432.55,438.53,439.89,430.67,1706245200000,60198
2024-01-29 05:00:00,2314246.0,438.8452,435.78,440.58,440.96,434.67,1706504400000,60866
2024-01-30 05:00:00,2663616.0,444.3773,440.9,445.19,446.215,440.05,1706590800000,63151
2024-01-31 05:00:00,4740634.0,451.3382,450.0,449.23,462.0,446.62,1706677200000,102254
2024-02-01 05:00:00,3292697.0,458.7959,455.0,460.92,461.14,454.045,1706763600000,80990
2024-02-02 05:00:00,2050335.0,461.4976,462.21,460.58,463.84,458.5,1706850000000,52619
2024-02-05 05:00:00,2438961.0,457.2068,459.51,456.76,461.3674,455.5279,1707109200000,56696
2024-02-06 05:00:00,2201912.0,458.5934,455.36,460.5,460.56,455.36,1707195600000,45760
2024-02-07 05:00:00,2544469.0,461.4052,461.21,461.91,462.235,459.615,1707282000000,54438
2024-02-08 05:00:00,2081511.0,458.5689,460.0,458.26,460.75,457.445,1707368400000,48089
2024-02-09 05:00:00,2155449.0,457.8822,458.06,457.88,458.985,456.37,1707454800000,51331
2024-02-12 05:00:00,1794533.0,458.3547,459.18,458.71,459.4,456.08,1707714000000,42123
2024-02-13 05:00:00,2407755.0,459.6464,456.76,460.46,461.88,456.04,1707800400000,55343
2024-02-14 05:00:00,2202784.0,463.3462,462.0,465.19,465.45,459.435,1707886800000,48626
2024-02-15 05:00:00,2354215.0,470.2176,465.83,471.28,472.105,465.23,1707973200000,54287
2024-02-16 05:00:00,2237275.0,469.8365,474.17,468.13,474.17,467.065,1708059600000,52446
2024-02-20 05:00:00,5044210.0,452.9559,452.8,451.75,455.85,450.12,1708405200000,102317
2024-02-21 05:00:00,2896527.0,457.0934,453.31,459.05,459.595,452.0,1708491600000,61124
2024-02-22 05:00:00,2572782.0,469.8694,461.81,471.56,472.5,461.58,1708578000000,59923
2024-02-23 05:00:00,1764216.0,473.5644,473.73,473.42,475.1672,471.86,1708664400000,43352
2024-02-26 05:00:00,2066883.0,474.2567,473.0,474.51,475.075,472.0,1708923600000,45987
2024-02-27 05:00:00,2011129.0,473.2922,474.55,474.75,475.0,469.95,1709010000000,51933
2024-02-28 05:00:00,1931986.0,477.1559,474.17,478.85,479.14,473.67,1709096400000,48398
2024-02-29 05:00:00,3072717.0,474.7986,478.0,474.76,478.39,472.05,1709182800000,55315
2024-03-01 05:00:00,1748452.0,476.0533,474.91,476.63,477.5,473.9,1709269200000,47025
2024-03-04 05:00:00,3212483.0,469.4106,475.67,468.49,476.63,465.765,1709528400000,72327
2024-03-05 05:00:00,2015063.0,467.0945,467.37,467.52,469.2435,464.62,1709614800000,55789
2024-03-06 05:00:00,1917151.0,471.2472,467.16,471.6,473.62,467.16,1709701200000,48589
2024-03-07 05:00:00,2178103.0,467.717,473.2,467.54,473.27,465.89,1709787600000,50980
2024-03-08 05:00:00,1596884.0,469.6093,467.1,469.26,471.62,467.1,1709874000000,48864
2024-03-11 04:00:00,1774642.0,468.4706,469.0,469.16,469.37,464.69,1710129600000,39652
2024-03-12 04:00:00,1853933.0,472.6392,470.53,472.87,474.37,468.71,1710216000000,42223
2024-03-13 04:00:00,2103955.0,475.1543,474.23,475.61,476.16,472.78,1710302400000,41022
2024-03-14 04:00:00,2757821.0,479.3439,481.02,479.48,482.0,477.1784,1710388800000,62327
2024-03-15 04:00:00,4179328.0,475.6124,473.34,475.83,478.46,473.08,1710475200000,52389
2024-03-18 04:00:00,2072358.0,479.1167,478.64,478.89,480.82,476.65,1710734400000,46095
2024-03-19 04:00:00,2049644.0,482.914,481.62,484.0,484.61,479.51,1710820800000,40229
