date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,7832833.0,40.3117,40.61,40.44,40.61,40.085,1705554000000,66436
2024-01-19 05:00:00,7827508.0,40.345,40.49,40.33,40.52,40.15,1705640400000,61616
2024-01-22 05:00:00,8186409.0,40.4587,40.25,40.48,40.69,40.15,1705899600000,56345
2024-01-23 05:00:00,7957089.0,40.3575,40.36,40.44,40.505,40.11,1705986000000,64009
2024-01-24 05:00:00,9232135.0,40.1352,40.41,39.93,40.59,39.92,1706072400000,68588
2024-01-25 05:00:00,9566255.0,40.1414,40.05,40.21,40.315,39.91,1706158800000,64070
2024-01-26 05:00:00,7286205.0,40.2559,40.42,40.2,40.5,40.12,1706245200000,54368
2024-01-29 05:00:00,8047433.0,40.4395,40.22,40.53,40.5692,40.22,1706504400000,64106
2024-01-30 05:00:00,7127237.0,40.4322,40.5,40.46,40.57,40.22,1706590800000,58353
2024-01-31 05:00:00,12462732.0,40.2488,40.5,40.12,40.62,40.07,1706677200000,85296
2024-02-01 05:00:00,19419218.0,41.3165,40.6,41.72,41.75,40.36,1706763600000,128388
2024-02-02 05:00:00,10858891.0,41.2953,41.49,41.36,41.61,40.92,1706850000000,81926
2024-02-05 05:00:00,10439965.0,40.7621,41.22,40.52,41.29,40.5,1707109200000,74311
2024-02-06 05:00:00,9820828.0,40.5363,40.58,40.6,40.71,40.305,1707195600000,63351
2024-02-07 05:00:00,8046470.0,40.2956,40.71,40.26,40.76,40.13,1707282000000,61802
2024-02-08 05:00:00,14659192.0,40.0417,40.2,40.09,40.37,39.85,1707368400000,86875
2024-02-09 05:00:00,8420625.0,40.0543,39.95,40.11,40.15,39.87,1707454800000,67725
2024-02-12 05:00:00,7995244.0,40.4064,40.22,40.55,40.617,40.13,1707714000000,65901
2024-02-13 05:00:00,7140166.0,40.1664,40.36,40.23,40.46,39.95,1707800400000,61385
2024-02-14 05:00:00,6043981.0,40.2744,40.22,40.4,40.44,40.045,1707886800000,50902
2024-02-15 05:00:00,7833519.0,40.2153,40.56,40.17,40.56,40.08,1707973200000,56394
2024-02-16 05:00:00,7323198.0,40.1355,40.17,40.18,40.27,39.965,1708059600000,53865
2024-02-20 05:00:00,8768002.0,40.3124,40.2,40.25,40.62,40.08,1708405200000,54381
2024-02-21 05:00:00,6628979.0,40.4077,40.35,40.47,40.51,40.22,1708491600000,46967
2024-02-22 05:00:00,8211040.0,40.6742,40.3,40.9,40.9,40.16,1708578000000,61059
2024-02-23 05:00:00,6808622.0,41.1076,40.9,41.13,41.31,40.71,1708664400000,54719
2024-02-26 05:00:00,8093108.0,40.7913,41.13,40.71,41.14,40.6,1708923600000,55957
2024-02-27 05:00:00,4876257.0,40.7985,40.72,40.9,40.91,40.585,1709010000000,38437
2024-02-28 05:00:00,5540672.0,40.8477,40.8,40.99,40.99,40.59,1709096400000,43567
2024-02-29 05:00:00,8394685.0,40.9363,41.04,40.91,41.095,40.8,1709182800000,53962
2024-03-01 05:00:00,9135215.0,40.8465,40.9,40.86,41.0,40.59,1709269200000,60237
2024-03-04 05:00:00,28577550.0,39.6996,40.33,39.73,40.69,39.25,1709528400000,205724
2024-03-05 05:00:00,12606025.0,39.9703,39.91,39.94,40.22,39.7224,1709614800000,91880
2024-03-06 05:00:00,25872711.0,41.4278,41.06,41.45,41.845,40.72,1709701200000,180368
2024-03-07 05:00:00,9760265.0,41.5403,41.53,41.55,41.72,41.35,1709787600000,71274
2024-03-08 05:00:00,9417493.0,41.8903,41.55,41.87,42.05,41.46,1709874000000,73107
2024-03-11 04:00:00,10663806.0,42.5096,41.98,42.68,42.74,41.96,1710129600000,77107
2024-03-12 04:00:00,13814516.0,43.0361,42.77,43.05,43.2793,42.77,1710216000000,84773
2024-03-13 04:00:00,7082376.0,43.334,43.19,43.35,43.47,43.17,1710302400000,52901
2024-03-14 04:00:00,22465823.0,44.0137,43.4,44.28,44.365,43.23,1710388800000,150486
2024-03-15 04:00:00,45230833.0,43.9521,43.91,43.87,44.5,43.87,1710475200000,115758
2024-03-18 04:00:00,31335366.0,44.5029,43.86,44.51,44.76,43.76,1710734400000,105722
2024-03-19 04:00:00,22602450.0,44.6086,44.57,44.63,44.98,44.35,1710820800000,77248
2024-03-20 04:00:00,18195754.0,44.7322,44.71,44.79,44.82,44.52,1710907200000,78404
2024-03-21 04:00:00,21052503.0,44.9151,44.83,44.95,45.0,44.59,1710993600000,80785
2024-03-22 04:00:00,23870305.0,43.0932,43.91,42.98,43.93,42.86,1711080000000,102406
2024-03-25 04:00:00,19734547.0,43.2483,42.93,43.26,43.57,42.915,1711339200000,62013
2024-03-26 04:00:00,10702040.0,43.1698,43.23,43.12,43.4,43.06,1711425600000,65735
2024-03-27 04:00:00,9001661.0,43.5339,43.32,43.66,43.67,43.29,1711512000000,64326
2024-03-28 04:00:00,9807499.0,43.6916,43.78,43.62,43.945,43.6,1711598400000,68992
2024-04-01 04:00:00,12174450.0,43.3564,43.62,43.22,43.87,43.18,1711944000000,63060
2024-04-02 04:00:00,10038536.0,43.0319,43.23,42.93,43.485,42.835,1712030400000,73146
2024-04-03 04:00:00,20090180.0,42.269,42.96,42.12,43.0992,42.095,1712116800000,100668
2024-04-04 04:00:00,13031418.0,41.8026,42.43,41.53,42.58,41.49,1712203200000,93663
2024-04-05 04:00:00,8515879.0,41.5885,41.48,41.65,41.7625,41.37,1712289600000,68977
2024-04-08 04:00:00,9402189.0,41.9489,41.54,41.96,42.09,41.5,1712548800000,69541
2024-04-09 04:00:00,7686419.0,42.0969,42.0,42.11,42.31,41.92,1712635200000,62706
2024-04-10 04:00:00,9510314.0,41.7083,41.67,41.68,42.03,41.54,1712721600000,79451
2024-04-11 04:00:00,10889074.0,41.4948,41.75,41.43,41.83,41.31,1712808000000,65422
2024-04-12 04:00:00,10669091.0,41.1529,41.33,41.05,41.55,41.02,1712894400000,70010
2024-04-15 04:00:00,10727646.0,40.9745,41.3,40.95,41.46,40.65,1713153600000,68141
2024-04-16 04:00:00,10407370.0,40.8232,40.95,40.75,41.09,40.72,1713240000000,79096
2024-04-17 04:00:00,8787705.0,41.026,41.01,41.1,41.22,40.74,1713326400000,63861
2024-04-18 04:00:00,17571316.0,41.2914,41.13,41.3,41.43,41.105,1713412800000,71393
2024-04-19 04:00:00,22325582.0,42.0384,41.39,42.09,42.27,41.39,1713499200000,76109
2024-04-22 04:00:00,10775658.0,42.4693,42.31,42.57,42.72,42.02,1713758400000,81788
2024-04-23 04:00:00,18917203.0,42.8685,42.64,42.87,43.04,42.52,1713844800000,74610
