date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,2722134.0,151.0225,151.55,151.8,152.35,148.89,1705554000000,45541
2024-01-19 05:00:00,2492742.0,152.621,152.32,152.98,153.08,151.733,1705640400000,37676
2024-01-22 05:00:00,2661292.0,153.9426,153.18,154.44,154.52,151.61,1705899600000,38177
2024-01-23 05:00:00,2601645.0,153.7907,153.76,153.97,154.905,152.46,1705986000000,40804
2024-01-24 05:00:00,1850979.0,154.9056,154.97,155.1,155.54,154.0,1706072400000,35279
2024-01-25 05:00:00,2912529.0,156.5542,156.5,157.27,157.97,154.895,1706158800000,52928
2024-01-26 05:00:00,3248630.0,159.1262,157.19,160.52,160.83,156.29,1706245200000,54153
2024-01-29 05:00:00,3124003.0,159.7514,160.55,160.14,160.94,158.5,1706504400000,51426
2024-01-30 05:00:00,5858732.0,166.9683,162.25,169.89,170.18,158.57,1706590800000,83774
2024-01-31 05:00:00,4260362.0,165.9194,169.99,165.6,171.42,163.62,1706677200000,67892
2024-02-01 05:00:00,3203733.0,166.55,166.44,167.53,169.23,163.5,1706763600000,55918
2024-02-02 05:00:00,2301106.0,166.5906,167.83,166.33,168.43,164.29,1706850000000,41796
2024-02-05 05:00:00,3430280.0,169.8461,165.51,171.12,171.57,164.3701,1707109200000,52906
2024-02-06 05:00:00,2782990.0,168.7127,171.4,166.64,173.325,166.44,1707195600000,46861
2024-02-07 05:00:00,1952417.0,169.1468,167.34,169.59,169.92,167.11,1707282000000,32535
2024-02-08 05:00:00,1789584.0,169.8,169.59,169.68,171.3899,168.65,1707368400000,33023
2024-02-09 05:00:00,2185905.0,169.7328,169.81,169.97,170.6908,168.73,1707454800000,32573
2024-02-12 05:00:00,2772276.0,169.3387,170.56,168.89,171.7,168.69,1707714000000,31941
2024-02-13 05:00:00,2367017.0,169.4042,168.5,169.88,170.9,166.84,1707800400000,39808
2024-02-14 05:00:00,2510050.0,169.4968,171.18,169.88,171.6777,167.125,1707886800000,43090
2024-02-15 05:00:00,2094962.0,171.3455,169.11,171.31,172.5,168.82,1707973200000,40551
2024-02-16 05:00:00,1964333.0,170.9293,171.46,170.01,172.18,169.91,1708059600000,34619
2024-02-20 05:00:00,2896213.0,164.7372,168.66,164.29,168.81,163.62,1708405200000,47989
2024-02-21 05:00:00,2544250.0,165.802,164.62,166.05,166.37,163.9,1708491600000,40727
2024-02-22 05:00:00,2561453.0,166.7355,165.12,167.75,167.98,163.6598,1708578000000,42021
2024-02-23 05:00:00,1929247.0,169.3773,167.03,169.54,170.47,166.2,1708664400000,31528
2024-02-26 05:00:00,2736033.0,172.8595,169.63,172.44,175.29,169.03,1708923600000,40094
2024-02-27 05:00:00,2046218.0,171.8922,172.92,171.13,174.16,170.91,1709010000000,39430
2024-02-28 05:00:00,2605248.0,167.7771,170.74,167.16,171.57,166.37,1709096400000,46056
2024-02-29 05:00:00,4548312.0,169.0894,167.37,169.23,170.0,166.5,1709182800000,44709
2024-03-01 05:00:00,2763064.0,172.6024,170.35,173.21,174.33,170.35,1709269200000,48717
2024-03-04 05:00:00,3154656.0,174.3319,172.71,173.75,175.97,171.34,1709528400000,51610
2024-03-05 05:00:00,2777750.0,175.2303,173.25,175.17,177.99,172.94,1709614800000,47834
2024-03-06 05:00:00,2483971.0,175.4605,176.0,175.18,177.36,173.5,1709701200000,49449
2024-03-07 05:00:00,2726890.0,179.0341,176.5,178.97,180.23,175.65,1709787600000,42563
2024-03-08 05:00:00,2513081.0,179.4513,178.1,179.55,181.18,178.1,1709874000000,39813
2024-03-11 04:00:00,2467307.0,179.9715,178.41,181.41,181.63,177.15,1710129600000,47256
2024-03-12 04:00:00,2744106.0,181.4902,181.35,181.2,182.95,178.65,1710216000000,44341
2024-03-13 04:00:00,3510301.0,188.0627,183.28,188.89,189.82,183.23,1710302400000,67977
2024-03-14 04:00:00,3005088.0,189.1331,190.7,188.98,192.265,187.76,1710388800000,57326
2024-03-15 04:00:00,9044654.0,193.5873,189.23,193.84,195.1185,189.23,1710475200000,71486
2024-03-18 04:00:00,2073495.0,193.6044,194.76,193.48,195.06,192.16,1710734400000,41292
2024-03-19 04:00:00,2509655.0,195.7752,193.55,196.57,196.75,193.0,1710820800000,42533
2024-03-20 04:00:00,1957295.0,196.7925,195.52,197.75,198.37,194.57,1710907200000,40062
2024-03-21 04:00:00,1681534.0,198.7867,198.09,199.21,199.89,196.33,1710993600000,34393
2024-03-22 04:00:00,2281392.0,199.7728,200.0,200.17,200.62,198.3,1711080000000,34987
2024-03-25 04:00:00,2042221.0,200.4026,201.0,199.83,203.015,199.52,1711339200000,36301
2024-03-26 04:00:00,1673425.0,198.0644,199.99,197.38,200.89,197.1,1711425600000,35559
2024-03-27 04:00:00,1675007.0,196.5024,196.66,196.99,198.1,195.35,1711512000000,39883
2024-03-28 04:00:00,6064106.0,201.1142,197.75,201.5,202.05,195.95,1711598400000,37415
2024-04-01 04:00:00,2201092.0,203.7653,201.29,204.41,205.49,199.46,1711944000000,46422
2024-04-02 04:00:00,3517268.0,209.0348,205.47,211.38,211.54,204.5001,1712030400000,64335
2024-04-03 04:00:00,3902712.0,215.7051,211.75,214.96,218.59,211.75,1712116800000,72265
2024-04-04 04:00:00,3189724.0,216.9617,216.98,216.25,218.85,215.4,1712203200000,57471
2024-04-05 04:00:00,2689990.0,219.4721,219.57,219.13,221.11,217.63,1712289600000,51767
2024-04-08 04:00:00,2478364.0,217.8403,218.57,216.98,219.74,216.6,1712548800000,47776
2024-04-09 04:00:00,3052511.0,212.1641,216.98,212.12,217.995,210.08,1712635200000,58949
2024-04-10 04:00:00,2663899.0,212.1835,211.83,211.22,215.24,210.5675,1712721600000,51821
2024-04-11 04:00:00,2208791.0,211.586,212.13,212.27,213.8376,209.05,1712808000000,39974
2024-04-12 04:00:00,2086940.0,209.9114,213.86,208.77,214.0,207.65,1712894400000,47856
2024-04-15 04:00:00,2586963.0,207.5419,210.55,207.02,210.8,206.18,1713153600000,47057
2024-04-16 04:00:00,1599848.0,203.7819,207.35,203.86,207.68,201.66,1713240000000,39288
2024-04-17 04:00:00,1816833.0,203.0725,204.98,202.46,205.605,201.415,1713326400000,35787
2024-04-18 04:00:00,2713552.0,196.4721,203.06,195.02,203.06,193.74,1713412800000,54915
2024-04-19 04:00:00,1748806.0,196.5168,196.32,196.38,198.58,195.03,1713499200000,32173
2024-04-22 04:00:00,1437223.0,197.957,196.25,198.25,199.37,194.3,1713758400000,29981
2024-04-23 04:00:00,1703224.0,198.7061,196.8,199.65,199.79,194.8,1713844800000,32343
2024-04-24 04:00:00,1473294.0,198.5158,198.82,199.14,199.46,195.03,1713931200000,30463
2024-04-25 04:00:00,1295208.0,198.9492,198.15,199.51,200.39,196.46,1714017600000,31662
2024-04-26 04:00:00,1954070.0,197.9663,197.54,198.39,198.8534,195.865,1714104000000,31701
2024-04-29 04:00:00,2051929.0,200.2317,198.0,200.51,201.36,197.68,1714363200000,41706
2024-04-30 04:00:00,5782073.0,185.9829,194.49,181.72,196.98,181.4,1714449600000,90730
2024-05-01 04:00:00,3856878.0,179.133,181.1,178.97,184.06,176.87,1714536000000,65530
2024-05-02 04:00:00,2682721.0,182.3682,179.59,182.95,183.81,179.05,1714622400000,55819
2024-05-03 04:00:00,1868555.0,182.0766,183.76,182.55,184.56,180.12,1714708800000,37551
2024-05-06 04:00:00,1906330.0,183.1373,184.05,182.78,184.77,182.41,1714968000000,32782
2024-05-07 04:00:00,1706675.0,181.2472,182.96,180.92,184.24,180.33,1715054400000,34305
2024-05-08 04:00:00,1844618.0,181.1577,180.18,180.93,182.75,179.4201,1715140800000,33072
2024-05-09 04:00:00,1295908.0,182.7356,181.38,182.93,183.82,180.54,1715227200000,27041
2024-05-10 04:00:00,1584400.0,179.8206,183.7,179.56,184.7218,178.62,1715313600000,36062
2024-05-13 04:00:00,1681005.0,178.1734,180.07,177.86,180.25,177.3,1715572800000,35396
2024-05-14 04:00:00,4660938.0,172.801,175.33,174.51,175.59,169.14,1715659200000,66353
2024-05-15 04:00:00,2546599.0,172.2137,173.2,172.65,173.65,170.11,1715745600000,47798
2024-05-16 04:00:00,2788157.0,174.6108,172.2,174.77,175.68,172.0,1715832000000,50216
