date,volume,vw,open,close,high,low,t,n
2024-01-17 05:00:00,4392400.0,166.2961,165.99,166.44,166.727,165.435,1705467600000,77897
2024-01-18 05:00:00,4709362.0,166.5192,165.47,167.17,167.28,164.99,1705554000000,70112
2024-01-19 05:00:00,6528578.0,166.1276,167.14,165.78,167.24,165.57,1705640400000,85662
2024-01-22 05:00:00,5697428.0,165.4452,165.96,165.11,166.705,165.02,1705899600000,82335
2024-01-23 05:00:00,4932727.0,166.9596,164.56,167.64,167.93,164.36,1705986000000,77740
2024-01-24 05:00:00,4984700.0,166.1246,167.64,165.6,167.74,165.515,1706072400000,73704
2024-01-25 05:00:00,5373787.0,165.8,165.81,166.56,166.6,164.935,1706158800000,83130
2024-01-26 05:00:00,4848987.0,167.5474,166.6,167.86,168.03,166.6,1706245200000,69576
2024-01-29 05:00:00,5713559.0,168.086,167.53,168.15,168.7,167.3926,1706504400000,70396
2024-01-30 05:00:00,4804243.0,168.938,167.67,169.62,169.7,167.32,1706590800000,70998
2024-01-31 05:00:00,5769214.0,168.8854,169.96,168.53,170.3838,167.88,1706677200000,82031
2024-02-01 05:00:00,4920789.0,170.8971,168.53,171.7,171.8,167.17,1706763600000,77649
2024-02-02 05:00:00,5307883.0,170.9833,171.235,170.97,171.96,170.1,1706850000000,82957
2024-02-05 05:00:00,5142706.0,170.846,170.55,170.92,171.58,169.045,1707109200000,80891
2024-02-06 05:00:00,5182879.0,171.2456,171.45,171.42,171.8252,169.94,1707195600000,74438
2024-02-07 05:00:00,5769679.0,171.831,172.63,171.47,172.9,171.38,1707282000000,79494
2024-02-08 05:00:00,9269699.0,173.4153,171.72,173.85,174.1,171.41,1707368400000,127222
2024-02-09 05:00:00,12731739.0,168.397,171.2,167.67,171.39,166.97,1707454800000,159661
2024-02-12 05:00:00,7867544.0,169.5991,167.86,170.61,171.0694,167.2,1707714000000,104416
2024-02-13 05:00:00,7302014.0,168.5329,171.22,168.88,171.45,167.24,1707800400000,108001
2024-02-14 05:00:00,5731904.0,167.2153,168.34,167.52,168.64,166.06,1707886800000,91272
2024-02-15 05:00:00,4451374.0,167.6321,167.95,167.86,168.365,166.68,1707973200000,72187
2024-02-16 05:00:00,5245994.0,166.5688,167.21,166.32,167.41,165.68,1708059600000,78483
2024-02-20 05:00:00,6117866.0,168.2786,167.74,168.65,169.52,167.185,1708405200000,92488
2024-02-21 05:00:00,4195366.0,168.7706,169.95,168.83,170.18,167.855,1708491600000,70884
2024-02-22 05:00:00,7539232.0,167.9452,167.64,168.25,168.8298,166.1,1708578000000,94238
2024-02-23 05:00:00,6409765.0,169.3981,167.94,169.6,170.25,167.8,1708664400000,69995
2024-02-26 05:00:00,3836980.0,168.3836,169.42,168.26,169.42,167.71,1708923600000,65133
2024-02-27 05:00:00,3567644.0,167.9762,167.82,168.16,168.22,167.35,1709010000000,57536
2024-02-28 05:00:00,5275282.0,167.0925,168.12,167.03,168.5,166.45,1709096400000,75988
2024-02-29 05:00:00,8489449.0,165.4778,166.21,165.34,166.68,164.91,1709182800000,93478
2024-03-01 05:00:00,6109856.0,164.2378,164.86,164.59,165.0,163.25,1709269200000,95735
