date,volume,vw,open,close,high,low,t,n
2024-01-17 05:00:00,6541439.0,149.8972,149.155,149.94,150.6,149.01,1705467600000,82896
2024-01-18 05:00:00,6526221.0,147.7796,148.225,148.14,148.4,146.92,1705554000000,87896
2024-01-19 05:00:00,7848138.0,147.8937,148.25,147.57,148.62,147.31,1705640400000,92965
2024-01-22 05:00:00,11084134.0,147.6243,146.97,147.86,148.21,146.28,1705899600000,123232
2024-01-23 05:00:00,19101558.0,154.3962,153.11,153.98,156.4,152.89,1705986000000,193134
2024-01-24 05:00:00,11592672.0,152.9137,153.93,152.12,154.23,152.09,1706072400000,126785
2024-01-25 05:00:00,10352452.0,154.6008,152.4,155.62,155.66,152.06,1706158800000,112891
2024-01-26 05:00:00,8356819.0,155.9991,155.81,156.14,156.16,155.34,1706245200000,88280
2024-01-29 05:00:00,8987609.0,156.0826,156.68,156.16,157.33,155.395,1706504400000,97084
2024-01-30 05:00:00,7794730.0,157.1912,156.34,157.49,157.92,155.82,1706590800000,93846
2024-01-31 05:00:00,8870215.0,157.3888,157.99,157.14,158.5,156.7,1706677200000,98187
2024-02-01 05:00:00,7601144.0,158.7355,156.77,159.18,159.3,156.62,1706763600000,92813
2024-02-02 05:00:00,7937716.0,158.301,158.97,158.09,159.6,157.525,1706850000000,93011
2024-02-05 05:00:00,6931933.0,158.3869,158.17,158.21,159.0,157.555,1707109200000,87254
2024-02-06 05:00:00,6185982.0,158.7389,158.305,158.96,159.07,157.87,1707195600000,78399
2024-02-07 05:00:00,7209276.0,159.239,159.1,159.12,159.83,158.74,1707282000000,80863
2024-02-08 05:00:00,6121778.0,158.4579,158.8,158.64,159.1,157.77,1707368400000,77815
2024-02-09 05:00:00,5978181.0,157.4664,158.26,157.42,158.34,156.96,1707454800000,79404
2024-02-12 05:00:00,5482124.0,156.8285,157.36,157.11,157.61,155.485,1707714000000,81979
2024-02-13 05:00:00,6046869.0,156.4606,157.75,156.27,158.97,155.48,1707800400000,88762
2024-02-14 05:00:00,5727455.0,155.5123,156.16,155.63,156.16,154.91,1707886800000,78931
2024-02-15 05:00:00,6249241.0,157.0057,156.3,157.01,157.42,156.15,1707973200000,84848
2024-02-16 05:00:00,6617706.0,157.7194,157.04,157.51,158.45,156.67,1708059600000,81955
2024-02-20 05:00:00,6622058.0,158.782,158.7,158.51,159.79,158.13,1708405200000,88019
2024-02-21 05:00:00,7121116.0,159.903,159.19,160.4,160.4,159.19,1708491600000,81956
2024-02-22 05:00:00,6619639.0,160.2464,159.46,160.56,161.0901,158.63,1708578000000,85710
2024-02-23 05:00:00,5486533.0,161.0519,160.6,161.03,161.74,160.16,1708664400000,76879
2024-02-26 05:00:00,4531936.0,160.4349,161.025,160.22,161.17,160.07,1708923600000,67914
2024-02-27 05:00:00,3868405.0,159.3568,159.41,159.3,159.8,158.9613,1709010000000,65296
2024-02-28 05:00:00,3802915.0,159.7085,159.065,160.05,160.12,158.64,1709096400000,62860
2024-02-29 05:00:00,8348201.0,158.9463,159.93,158.94,160.11,158.18,1709182800000,78488
2024-03-01 05:00:00,4819929.0,158.6411,158.05,158.85,159.03,157.61,1709269200000,78973
2024-03-04 05:00:00,3841623.0,159.254,157.74,159.56,159.76,157.67,1709528400000,68277
2024-03-05 05:00:00,4481715.0,159.4077,159.46,159.32,159.99,158.78,1709614800000,73580
2024-03-06 05:00:00,5405719.0,159.4144,159.68,159.57,159.99,158.91,1709701200000,80800
2024-03-07 05:00:00,4783943.0,160.5394,159.95,160.62,160.91,159.47,1709787600000,76235
2024-03-08 05:00:00,5080225.0,160.0311,159.85,160.35,161.245,158.29,1709874000000,87614
2024-03-11 04:00:00,5171060.0,161.4888,161.34,161.55,162.62,160.815,1710129600000,80256
2024-03-12 04:00:00,4229060.0,161.9777,161.82,161.93,162.52,161.23,1710216000000,71162
2024-03-13 04:00:00,5410679.0,162.3465,162.38,162.3,162.73,161.33,1710302400000,75453
2024-03-14 04:00:00,5848057.0,161.6297,162.24,161.5,162.62,161.13,1710388800000,84517
2024-03-15 04:00:00,10956888.0,161.0351,160.7,161.38,161.5,160.3033,1710475200000,81706
2024-03-18 04:00:00,6086268.0,161.6355,161.48,161.21,162.72,161.0,1710734400000,81220
2024-03-19 04:00:00,6148240.0,161.7437,161.8,161.83,162.17,161.17,1710820800000,68546
2024-03-20 04:00:00,4870296.0,161.907,162.01,161.99,162.398,161.47,1710907200000,70473
2024-03-21 04:00:00,5211676.0,161.9028,162.09,161.86,162.46,161.115,1710993600000,72691
2024-03-22 04:00:00,6393425.0,161.7552,162.2,161.66,162.41,161.47,1711080000000,65644
2024-03-25 04:00:00,7145692.0,160.271,161.17,160.19,161.66,159.73,1711339200000,87367
2024-03-26 04:00:00,5842850.0,160.6166,160.36,160.55,161.14,160.14,1711425600000,69752
2024-03-27 04:00:00,6599711.0,162.3384,161.36,162.61,162.74,161.34,1711512000000,79449
2024-03-28 04:00:00,7191571.0,162.3116,162.82,162.25,163.14,161.7,1711598400000,75431
2024-04-01 04:00:00,5971857.0,160.5725,161.78,160.58,162.07,159.8,1711944000000,80607
2024-04-02 04:00:00,6771395.0,160.4179,159.64,160.57,160.71,159.64,1712030400000,77036
2024-04-03 04:00:00,9601812.0,156.7096,160.63,156.15,160.88,155.68,1712116800000,127966
2024-04-04 04:00:00,6801662.0,156.0041,156.88,155.45,157.08,155.41,1712203200000,81476
2024-04-05 04:00:00,5121197.0,156.0727,155.29,156.1,157.06,154.69,1712289600000,84603
2024-04-08 04:00:00,5476752.0,156.1942,155.97,156.04,156.7,155.63,1712548800000,73364
2024-04-09 04:00:00,4613751.0,156.4066,156.27,156.66,156.75,155.7,1712635200000,72869
2024-04-10 04:00:00,7785084.0,156.9305,155.65,157.24,157.58,155.65,1712721600000,91606
2024-04-11 04:00:00,8209765.0,156.2874,157.55,155.84,157.6,155.77,1712808000000,78244
2024-04-12 04:00:00,6770659.0,155.402,155.22,155.33,155.97,154.74,1712894400000,78233
2024-04-15 04:00:00,5753987.0,155.8774,156.42,155.45,156.82,155.33,1713153600000,91172
2024-04-16 04:00:00,6103296.0,156.1118,155.85,155.95,156.94,155.665,1713240000000,91269
2024-04-17 04:00:00,6621906.0,156.5221,156.3,156.96,157.115,155.74,1713326400000,90689
2024-04-18 04:00:00,7819261.0,156.8943,156.34,157.29,157.63,155.96,1713412800000,97803
2024-04-19 04:00:00,12034186.0,156.6233,154.98,158.14,158.175,153.52,1713499200000,149462
2024-04-22 04:00:00,8926327.0,160.0822,158.43,160.54,161.285,157.2525,1713758400000,109691
