date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,4062956.0,125.9474,126.79,126.26,127.25,124.665,1705554000000,52053
2024-01-19 05:00:00,3559130.0,127.7856,126.92,128.44,128.87,126.06,1705640400000,42228
2024-01-22 05:00:00,2280919.0,129.0578,128.76,128.74,130.3903,128.68,1705899600000,34754
2024-01-23 05:00:00,3426419.0,128.4987,129.79,128.01,129.99,127.92,1705986000000,42667
2024-01-24 05:00:00,3491558.0,125.9919,129.83,125.44,129.83,125.31,1706072400000,44634
2024-01-25 05:00:00,2590416.0,126.2555,126.88,126.2,127.42,125.5,1706158800000,41751
2024-01-26 05:00:00,2333037.0,126.7683,126.89,126.87,127.34,125.76,1706245200000,36787
2024-01-29 05:00:00,2553942.0,127.4189,126.92,127.89,128.345,126.27,1706504400000,36459
2024-01-30 05:00:00,2764301.0,126.6356,127.03,126.53,127.71,125.57,1706590800000,41767
2024-01-31 05:00:00,4811303.0,127.2506,127.33,126.69,129.09,125.93,1706677200000,62627
2024-02-01 05:00:00,3984071.0,129.1128,126.61,130.44,130.46,126.2,1706763600000,55551
2024-02-02 05:00:00,4194988.0,128.801,128.21,129.25,130.27,126.5,1706850000000,55998
2024-02-05 05:00:00,3591914.0,127.1476,127.47,126.91,128.08,126.08,1707109200000,55857
2024-02-06 05:00:00,3764291.0,129.9702,127.53,130.5,130.75,126.925,1707195600000,54967
2024-02-07 05:00:00,3907499.0,129.7537,130.31,129.09,131.045,128.75,1707282000000,52946
2024-02-08 05:00:00,3260971.0,131.4779,129.03,131.66,132.37,128.7892,1707368400000,47312
2024-02-09 05:00:00,2870352.0,131.8177,131.38,132.48,132.77,130.445,1707454800000,44355
2024-02-12 05:00:00,2523834.0,132.3085,133.0,132.05,134.23,131.8,1707714000000,44163
2024-02-13 05:00:00,4759062.0,129.7977,128.75,130.88,130.99,127.235,1707800400000,63799
2024-02-14 05:00:00,4294108.0,130.5178,130.94,130.5,131.82,129.23,1707886800000,49852
2024-02-15 05:00:00,3409249.0,132.801,131.7,133.1,133.19,131.7,1707973200000,43456
2024-02-16 05:00:00,3421275.0,133.3024,131.94,133.39,134.175,131.325,1708059600000,49123
2024-02-20 05:00:00,2995336.0,133.1568,132.35,133.35,133.94,131.57,1708405200000,41626
2024-02-21 05:00:00,2436381.0,133.4653,133.24,133.42,134.49,133.03,1708491600000,36038
2024-02-22 05:00:00,2946963.0,133.5403,133.51,133.44,134.835,132.98,1708578000000,41940
2024-02-23 05:00:00,2131842.0,133.5767,133.48,133.21,134.2,133.05,1708664400000,33494
2024-02-26 05:00:00,2000472.0,132.4696,132.82,132.56,133.2198,131.53,1708923600000,30319
2024-02-27 05:00:00,2976954.0,132.5552,133.25,132.49,134.4599,131.745,1709010000000,41392
2024-02-28 05:00:00,2478789.0,133.9867,132.02,133.99,135.11,131.93,1709096400000,37700
2024-02-29 05:00:00,5131520.0,133.5828,135.08,133.27,135.7,133.0,1709182800000,54298
2024-03-01 05:00:00,2786529.0,133.4473,133.04,134.6,134.73,130.23,1709269200000,44453
2024-03-04 05:00:00,3316342.0,133.0009,134.26,133.61,134.6,130.96,1709528400000,53226
2024-03-05 05:00:00,2328916.0,132.7002,133.05,132.44,133.72,131.78,1709614800000,38033
2024-03-06 05:00:00,2245496.0,133.1665,133.12,133.08,133.86,132.42,1709701200000,33533
2024-03-07 05:00:00,2080373.0,132.8491,134.04,132.74,134.56,131.97,1709787600000,27914
