date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,914194.0,69.7767,69.99,69.86,70.235,69.27,1705554000000,17405
2024-01-19 05:00:00,2113911.0,70.1611,70.24,70.32,70.7089,68.43,1705640400000,16280
2024-01-22 05:00:00,660079.0,71.8909,70.94,72.02,72.61,70.36,1705899600000,13089
2024-01-23 05:00:00,534771.0,72.0796,72.43,72.48,72.65,70.97,1705986000000,11472
2024-01-24 05:00:00,565477.0,71.3762,72.98,71.06,73.41,70.84,1706072400000,13030
2024-01-25 05:00:00,560904.0,71.1101,72.23,71.12,72.23,70.53,1706158800000,14415
2024-01-26 05:00:00,1070572.0,73.022,72.6,72.63,73.75,72.4,1706245200000,19086
2024-01-29 05:00:00,1080548.0,72.2364,72.19,72.78,73.09,71.47,1706504400000,19861
2024-01-30 05:00:00,1131170.0,72.9413,72.86,72.71,74.0,72.47,1706590800000,19469
2024-01-31 05:00:00,1434429.0,71.1042,72.71,70.32,72.715,70.07,1706677200000,25196
2024-02-01 05:00:00,2507046.0,67.6174,67.1,68.54,69.45,65.22,1706763600000,37661
2024-02-02 05:00:00,1745415.0,66.1696,66.68,65.98,67.78,64.965,1706850000000,29666
2024-02-05 05:00:00,1945982.0,66.884,65.91,66.77,68.0065,65.35,1707109200000,26795
2024-02-06 05:00:00,1017782.0,67.031,66.67,67.37,67.6,65.9415,1707195600000,19687
2024-02-07 05:00:00,942504.0,66.5601,67.77,66.36,67.8,66.0,1707282000000,18391
2024-02-08 05:00:00,971437.0,67.7746,66.69,67.98,68.29,66.36,1707368400000,14330
2024-02-09 05:00:00,908290.0,67.5627,67.9,67.95,68.19,66.79,1707454800000,16432
2024-02-12 05:00:00,1277511.0,69.5471,68.1,69.95,70.265,67.28,1707714000000,22692
2024-02-13 05:00:00,1029930.0,67.3389,68.2,67.52,68.84,66.35,1707800400000,17987
2024-02-14 05:00:00,1036506.0,69.4284,68.41,70.12,70.22,67.63,1707886800000,18576
2024-02-15 05:00:00,1109678.0,71.1598,70.5,71.26,71.96,70.38,1707973200000,21117
2024-02-16 05:00:00,1048576.0,71.8776,70.59,71.61,72.82,70.09,1708059600000,19369
2024-02-20 05:00:00,632240.0,70.2782,70.35,70.33,70.77,69.91,1708405200000,13685
2024-02-21 05:00:00,1373852.0,71.2031,70.0,71.72,71.985,69.6216,1708491600000,21645
