date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,4390201.0,94.5909,94.31,94.75,94.98,94.06,1705554000000,51700
2024-01-19 05:00:00,4138683.0,95.2475,95.16,95.5,95.7,94.27,1705640400000,44773
2024-01-22 05:00:00,3974075.0,95.1372,95.52,95.13,95.65,94.78,1705899600000,47636
2024-01-23 05:00:00,3387531.0,95.1594,95.15,95.06,95.6599,94.98,1705986000000,42558
2024-01-24 05:00:00,3438883.0,95.2062,95.23,94.95,95.635,94.89,1706072400000,45293
2024-01-25 05:00:00,4326797.0,95.4218,95.36,95.51,95.91,95.04,1706158800000,51760
2024-01-26 05:00:00,4163717.0,96.1402,95.69,96.38,96.45,95.54,1706245200000,49512
2024-01-29 05:00:00,3636519.0,96.1952,96.38,96.41,96.85,95.63,1706504400000,45347
2024-01-30 05:00:00,4112755.0,96.4663,96.16,96.82,96.85,95.62,1706590800000,46353
2024-01-31 05:00:00,4967009.0,95.3655,97.0,94.91,97.0,94.66,1706677200000,59068
2024-02-01 05:00:00,4608892.0,96.4042,94.96,97.06,97.08,94.71,1706763600000,53478
2024-02-02 05:00:00,3973464.0,97.3276,96.94,97.51,98.05,96.25,1706850000000,50942
2024-02-05 05:00:00,5466370.0,96.1991,96.5,96.65,96.74,95.16,1707109200000,53333
2024-02-06 05:00:00,4410672.0,96.9329,96.5,97.1,97.2299,96.035,1707195600000,51324
2024-02-07 05:00:00,4641898.0,97.8878,97.54,97.83,98.29,97.4,1707282000000,49255
2024-02-08 05:00:00,6246165.0,98.3599,98.5,98.36,99.45,98.13,1707368400000,56858
2024-02-09 05:00:00,3488189.0,98.7615,98.24,98.75,99.07,98.01,1707454800000,44237
2024-02-12 05:00:00,4062579.0,98.0885,98.66,98.08,98.86,97.78,1707714000000,50589
2024-02-13 05:00:00,4190243.0,97.784,97.18,97.96,98.035,97.135,1707800400000,48616
2024-02-14 05:00:00,4765825.0,97.1319,97.91,97.17,98.22,96.65,1707886800000,49255
2024-02-15 05:00:00,4802948.0,97.9059,97.42,97.94,98.33,97.205,1707973200000,54024
2024-02-16 05:00:00,4470084.0,98.0489,97.99,98.04,98.49,97.04,1708059600000,40583
2024-02-20 05:00:00,5591584.0,97.5482,97.8,97.36,98.41,97.27,1708405200000,48407
