date,volume,vw,open,close,high,low,t,n
2024-01-17 05:00:00,1966276.0,539.9391,538.75,539.25,545.9506,536.84,1705467600000,46351
2024-01-18 05:00:00,1728161.0,543.3907,537.35,544.42,547.03,535.99,1705554000000,42841
2024-01-19 05:00:00,2123960.0,549.9706,545.16,551.75,553.275,541.84,1705640400000,45262
2024-01-22 05:00:00,1818531.0,554.2744,552.88,553.39,558.69,550.53,1705899600000,41250
2024-01-23 05:00:00,1116609.0,549.1499,556.2,550.74,557.03,545.37,1705986000000,33588
2024-01-24 05:00:00,1842524.0,542.0022,549.85,539.99,551.99,539.14,1706072400000,51175
2024-01-25 05:00:00,1748147.0,539.4251,543.23,538.21,547.7768,537.64,1706158800000,44070
2024-01-26 05:00:00,3172314.0,550.5178,554.0,547.33,556.41,546.65,1706245200000,62208
2024-01-29 05:00:00,2445913.0,555.8847,550.0,557.77,559.19,547.36,1706504400000,55691
2024-01-30 05:00:00,2301337.0,566.0056,559.5,567.12,570.0,559.5,1706590800000,51442
2024-01-31 05:00:00,3589573.0,545.8464,563.3,538.98,566.0,537.78,1706677200000,80470
2024-02-01 05:00:00,2163879.0,546.2572,542.14,552.23,553.92,534.24,1706763600000,52181
2024-02-02 05:00:00,1327462.0,549.6817,549.02,551.82,554.45,541.885,1706850000000,39925
2024-02-05 05:00:00,1473858.0,551.9622,549.46,551.62,556.975,546.67,1707109200000,31895
2024-02-06 05:00:00,1328171.0,556.5117,552.49,560.28,560.5,551.45,1707195600000,35309
2024-02-07 05:00:00,1451424.0,554.6211,562.0,552.31,566.0,552.03,1707282000000,36230
2024-02-08 05:00:00,1549469.0,547.2732,552.2,550.89,552.86,541.46,1707368400000,42653
2024-02-09 05:00:00,1280838.0,550.9862,549.65,550.75,554.13,548.29,1707454800000,29844
2024-02-12 05:00:00,1073036.0,547.2171,551.0,546.86,551.0,544.11,1707714000000,32999
2024-02-13 05:00:00,1268029.0,539.0277,541.42,538.6,546.19,534.41,1707800400000,39119
2024-02-14 05:00:00,1296996.0,546.3201,541.64,548.27,548.69,541.64,1707886800000,37413
2024-02-15 05:00:00,1519047.0,548.7747,547.26,548.57,553.225,545.28,1707973200000,35557
2024-02-16 05:00:00,1028206.0,548.687,546.32,547.84,552.69,546.32,1708059600000,25499
2024-02-20 05:00:00,989294.0,548.0646,544.86,548.14,550.41,542.35,1708405200000,32246
2024-02-21 05:00:00,786478.0,549.2913,546.11,552.85,552.97,544.29,1708491600000,26354
2024-02-22 05:00:00,1139590.0,557.9074,555.0,560.49,560.74,550.27,1708578000000,31760
2024-02-23 05:00:00,970071.0,564.7432,562.87,564.71,566.68,560.86,1708664400000,30040
2024-02-26 05:00:00,758574.0,563.0954,563.34,563.48,565.99,561.01,1708923600000,25148
2024-02-27 05:00:00,901044.0,565.3273,564.98,566.17,567.82,560.84,1709010000000,25541
2024-02-28 05:00:00,1021434.0,570.7502,565.2,572.03,573.01,565.02,1709096400000,29532
2024-02-29 05:00:00,1794277.0,570.7759,574.65,570.18,575.0,567.55,1709182800000,37791
2024-03-01 05:00:00,1440176.0,574.6296,564.56,576.33,578.5,563.0,1709269200000,39096
2024-03-04 05:00:00,1547722.0,579.1146,575.4,581.64,582.54,571.521,1709528400000,42165
2024-03-05 05:00:00,1973288.0,583.9972,581.13,584.61,586.15,580.0,1709614800000,49932
2024-03-06 05:00:00,1886807.0,592.6276,588.35,591.5,598.35,585.81,1709701200000,45512
2024-03-07 05:00:00,1819492.0,595.9068,595.0,597.66,598.905,592.5,1709787600000,36986
2024-03-08 05:00:00,1600305.0,598.8867,597.0,597.61,603.82,595.96,1709874000000,37533
2024-03-11 04:00:00,1380447.0,596.273,594.18,599.43,599.99,589.64,1710129600000,33385
2024-03-12 04:00:00,1146315.0,598.0572,598.9,597.25,600.62,594.69,1710216000000,34926
2024-03-13 04:00:00,1035189.0,594.2081,599.03,593.32,599.03,591.045,1710302400000,35117
2024-03-14 04:00:00,1757994.0,584.4085,590.98,584.91,595.1,581.25,1710388800000,44868
2024-03-15 04:00:00,1920147.0,582.3043,575.17,584.15,584.65,573.73,1710475200000,34306
2024-03-18 04:00:00,1554424.0,580.915,585.86,580.05,586.845,578.3,1710734400000,34761
2024-03-19 04:00:00,1053626.0,581.9762,581.28,582.72,584.25,577.2,1710820800000,26249
2024-03-20 04:00:00,728710.0,579.1801,581.05,580.05,581.63,576.29,1710907200000,26065
2024-03-21 04:00:00,1230529.0,584.7908,580.0,584.13,587.08,577.6,1710993600000,33120
2024-03-22 04:00:00,1061222.0,583.3859,586.82,583.09,588.99,579.74,1711080000000,27132
2024-03-25 04:00:00,1226909.0,574.2866,583.21,573.56,585.03,571.09,1711339200000,33098
2024-03-26 04:00:00,1784927.0,570.2826,574.01,568.82,574.985,567.84,1711425600000,39679
2024-03-27 04:00:00,1525832.0,576.3584,572.52,579.37,579.77,571.08,1711512000000,38343
2024-03-28 04:00:00,1081545.0,580.7728,579.3,581.21,582.295,576.19,1711598400000,27474
2024-04-01 04:00:00,837591.0,576.7771,581.05,577.45,581.53,572.84,1711944000000,27860
2024-04-02 04:00:00,1381269.0,570.8224,570.75,571.56,572.39,565.78,1712030400000,35523
2024-04-03 04:00:00,1151569.0,575.7546,571.23,576.0,578.25,569.19,1712116800000,31962
2024-04-04 04:00:00,1231899.0,574.142,580.41,570.61,582.0,568.57,1712203200000,29130
2024-04-05 04:00:00,1181253.0,580.0874,570.22,579.46,583.84,569.06,1712289600000,33242
2024-04-08 04:00:00,998949.0,578.2712,579.35,578.8,582.41,575.71,1712548800000,27090
2024-04-09 04:00:00,1026320.0,587.4038,583.78,589.2,589.93,583.23,1712635200000,28503
2024-04-10 04:00:00,1282843.0,574.9028,577.29,573.71,579.675,571.89,1712721600000,39436
2024-04-11 04:00:00,1295511.0,575.8447,579.56,574.57,580.355,571.36,1712808000000,32007
2024-04-12 04:00:00,1201602.0,565.656,570.91,565.23,573.385,561.64,1712894400000,33022
2024-04-15 04:00:00,1031658.0,559.9351,570.72,557.87,570.72,554.51,1713153600000,31986
2024-04-16 04:00:00,1010299.0,554.8241,559.04,554.55,559.04,552.685,1713240000000,31349
2024-04-17 04:00:00,1610057.0,548.9155,555.86,547.25,556.0,546.45,1713326400000,37705
2024-04-18 04:00:00,2075785.0,539.9663,534.8,541.52,544.87,529.64,1713412800000,49750
2024-04-19 04:00:00,1738509.0,544.1669,542.95,544.78,546.14,539.17,1713499200000,38044
2024-04-22 04:00:00,1522884.0,548.6561,549.15,548.38,552.86,543.15,1713758400000,40246
2024-04-23 04:00:00,2543991.0,571.8584,567.51,574.59,576.89,560.0,1713844800000,63751
2024-04-24 04:00:00,2035044.0,576.0355,578.0,577.39,586.4623,565.23,1713931200000,49355
2024-04-25 04:00:00,1184004.0,572.7906,577.4,571.73,577.99,569.98,1714017600000,33911
2024-04-26 04:00:00,1438184.0,573.0586,567.94,573.6,575.0,566.95,1714104000000,38175
2024-04-29 04:00:00,962351.0,576.1269,575.09,576.89,579.49,571.3,1714363200000,25765
2024-04-30 04:00:00,1515137.0,570.7038,574.7,568.72,576.46,567.97,1714449600000,31385
2024-05-01 04:00:00,1171977.0,574.4035,569.86,574.99,581.9,568.4,1714536000000,32591
