date,volume,vw,open,close,high,low,t,n
2024-01-17 05:00:00,4079212.0,161.8907,162.56,162.415,162.92,160.29,1705467600000,76160
2024-01-18 05:00:00,6583726.0,166.1696,164.67,166.91,167.38,163.18,1705554000000,86092
2024-01-19 05:00:00,13345823.0,173.4185,170.9,173.65,175.16,170.24,1705640400000,149505
2024-01-22 05:00:00,6850732.0,174.6767,174.0,174.83,176.65,173.62,1705899600000,104003
2024-01-23 05:00:00,9459441.0,174.1471,174.84,174.34,176.57,174.26,1705986000000,119148
2024-01-24 05:00:00,15100358.0,170.4413,171.29,170.07,172.9,168.54,1706072400000,198727
2024-01-25 05:00:00,7088245.0,168.1707,171.06,167.42,171.53,166.83,1706158800000,114597
2024-01-26 05:00:00,8800892.0,164.4156,166.2,164.09,166.2,163.28,1706245200000,113752
2024-01-29 05:00:00,6076587.0,165.3138,164.08,166.04,166.32,163.43,1706504400000,82239
2024-01-30 05:00:00,4897565.0,162.2252,162.9,162.05,163.78,161.5409,1706590800000,83016
2024-01-31 05:00:00,8665418.0,160.2757,160.41,160.12,163.17,159.32,1706677200000,90150
2024-02-01 05:00:00,6542100.0,158.7296,159.22,159.69,159.87,156.66,1706763600000,93651
2024-02-02 05:00:00,4922637.0,158.9809,158.38,159.2,159.8,157.77,1706850000000,77166
2024-02-05 05:00:00,4190141.0,158.8682,159.99,158.9,159.99,157.59,1707109200000,71800
2024-02-06 05:00:00,4140045.0,158.2731,159.17,158.37,159.7,157.33,1707195600000,65720
2024-02-07 05:00:00,4627927.0,158.9825,159.93,158.77,160.29,158.23,1707282000000,61661
2024-02-08 05:00:00,3487727.0,160.2468,159.31,160.21,161.06,158.78,1707368400000,54165
2024-02-09 05:00:00,3919501.0,162.0742,161.28,162.4,162.48,160.63,1707454800000,63412
2024-02-12 05:00:00,3853010.0,161.6237,162.4,161.08,162.84,161.05,1707714000000,53178
2024-02-13 05:00:00,5358099.0,157.1309,158.26,156.85,159.42,155.46,1707800400000,86068
2024-02-14 05:00:00,4527974.0,157.6369,157.85,157.87,159.04,156.575,1707886800000,64810
2024-02-15 05:00:00,3725291.0,160.5338,158.9,160.71,161.27,158.9,1707973200000,56739
2024-02-16 05:00:00,3167711.0,160.7274,160.35,160.38,162.15,159.43,1708059600000,55992
2024-02-20 05:00:00,5406180.0,161.8478,159.37,162.74,162.91,159.255,1708405200000,85163
2024-02-21 05:00:00,4533892.0,163.0294,162.52,164.08,164.12,161.5,1708491600000,67798
2024-02-22 05:00:00,5041241.0,165.0395,164.9,165.43,166.12,163.49,1708578000000,87807
2024-02-23 05:00:00,3479112.0,164.1687,165.83,163.69,166.0,163.63,1708664400000,50391
2024-02-26 05:00:00,5251308.0,164.4446,164.62,164.3,165.505,163.775,1708923600000,57941
2024-02-27 05:00:00,2886598.0,165.0169,164.58,164.94,165.66,164.25,1709010000000,44760
2024-02-28 05:00:00,2932981.0,163.0451,163.5,163.04,163.88,162.382,1709096400000,49583
2024-02-29 05:00:00,7267203.0,166.915,164.9,167.33,167.91,164.28,1709182800000,77410
2024-03-01 05:00:00,5233691.0,170.5328,167.55,171.05,172.09,167.32,1709269200000,74401
2024-03-04 05:00:00,4401620.0,172.2375,172.5,172.44,173.046,170.86,1709528400000,72252
2024-03-05 05:00:00,6215628.0,170.5976,171.36,170.64,172.715,169.275,1709614800000,89576
2024-03-06 05:00:00,6312914.0,172.8076,173.11,171.87,175.79,170.68,1709701200000,92377
2024-03-07 05:00:00,5980433.0,175.8458,172.28,175.27,177.75,172.28,1709787600000,84557
2024-03-08 05:00:00,5632577.0,173.2486,175.46,172.3,175.58,172.27,1709874000000,82969
2024-03-11 04:00:00,4207280.0,173.4111,172.28,174.19,174.28,171.53,1710129600000,69562
2024-03-12 04:00:00,5802633.0,174.767,175.99,174.8,176.345,173.23,1710216000000,77669
2024-03-13 04:00:00,5199464.0,172.5874,173.89,172.68,174.29,171.205,1710302400000,81232
2024-03-14 04:00:00,5028425.0,171.218,173.31,171.14,173.63,169.8,1710388800000,78600
2024-03-15 04:00:00,19078800.0,171.8626,169.6,172.52,173.025,168.69,1710475200000,114373
2024-03-18 04:00:00,5213780.0,170.3943,174.54,169.21,174.79,169.06,1710734400000,74623
2024-03-19 04:00:00,5640195.0,166.905,167.68,166.76,168.31,165.98,1710820800000,84005
2024-03-20 04:00:00,4404623.0,168.5937,167.08,169.98,170.139,166.27,1710907200000,65437
2024-03-21 04:00:00,4371638.0,173.1195,172.83,172.59,174.79,171.72,1710993600000,77900
2024-03-22 04:00:00,4177222.0,172.5279,171.73,172.48,173.73,171.26,1711080000000,49777
2024-03-25 04:00:00,3298599.0,171.1938,170.83,170.85,172.33,170.61,1711339200000,50883
2024-03-26 04:00:00,5898325.0,168.4492,171.44,167.91,171.86,167.51,1711425600000,73155
2024-03-27 04:00:00,4272356.0,171.5757,169.0,172.87,172.92,168.83,1711512000000,64101
2024-03-28 04:00:00,4417751.0,174.2716,173.475,174.21,175.85,173.33,1711598400000,62206
2024-04-01 04:00:00,2303229.0,173.5934,174.12,173.17,175.91,172.855,1711944000000,51633
2024-04-02 04:00:00,3304454.0,170.5342,172.35,170.36,172.35,169.601,1712030400000,61408
2024-04-03 04:00:00,3295848.0,170.076,169.58,170.34,170.89,167.89,1712116800000,60251
2024-04-04 04:00:00,7491331.0,170.5767,171.77,168.53,173.0,168.1,1712203200000,84260
2024-04-05 04:00:00,5012314.0,167.86,168.57,167.5,169.25,167.14,1712289600000,83945
2024-04-08 04:00:00,3154031.0,169.3936,167.61,169.46,170.29,167.26,1712548800000,55072
2024-04-09 04:00:00,4830902.0,172.4021,171.0,173.46,173.52,170.13,1712635200000,63839
2024-04-10 04:00:00,5662835.0,169.0015,169.87,168.92,170.405,167.9,1712721600000,84592
