date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,4447824.0,59.5872,59.73,59.65,59.99,59.29,1705554000000,44478
2024-01-19 05:00:00,3582365.0,59.446,59.67,59.48,59.91,59.18,1705640400000,41412
2024-01-22 05:00:00,3858678.0,59.0943,59.58,58.93,59.9381,58.655,1705899600000,47353
2024-01-23 05:00:00,4648414.0,59.1155,59.01,59.19,59.35,58.75,1705986000000,43127
2024-01-24 05:00:00,6092698.0,58.4032,59.52,58.22,59.76,58.13,1706072400000,56696
2024-01-25 05:00:00,6469987.0,58.7448,59.0,58.89,59.26,57.7283,1706158800000,72785
2024-01-26 05:00:00,4038883.0,59.3816,58.9,59.39,59.605,58.9,1706245200000,41842
2024-01-29 05:00:00,4798769.0,59.6847,59.52,59.66,60.115,59.2946,1706504400000,45347
2024-01-30 05:00:00,3782944.0,59.7055,59.51,59.76,60.18,59.075,1706590800000,43691
2024-01-31 05:00:00,13842809.0,59.9086,60.21,59.87,60.67,59.34,1706677200000,50489
2024-02-01 05:00:00,5303174.0,60.7776,59.66,61.14,61.15,59.12,1706763600000,44731
2024-02-02 05:00:00,3901771.0,59.8287,60.67,59.82,60.68,59.26,1706850000000,45420
2024-02-05 05:00:00,3177022.0,58.7286,59.06,58.52,59.29,58.455,1707109200000,32119
2024-02-06 05:00:00,2918511.0,58.5291,58.39,58.44,58.785,58.18,1707195600000,37007
2024-02-07 05:00:00,2621191.0,58.3732,58.72,58.37,58.73,58.14,1707282000000,32316
2024-02-08 05:00:00,2570853.0,57.7837,58.23,58.0,58.23,57.405,1707368400000,35789
2024-02-09 05:00:00,2732759.0,58.0249,57.9,58.17,58.2,57.67,1707454800000,30439
2024-02-12 05:00:00,2691147.0,58.7659,58.2,58.97,59.1,58.02,1707714000000,31713
2024-02-13 05:00:00,3253433.0,58.0884,58.98,58.28,59.2,57.23,1707800400000,42858
2024-02-14 05:00:00,3965918.0,58.4595,58.28,58.68,58.76,57.82,1707886800000,45993
2024-02-15 05:00:00,3571439.0,59.0619,58.88,59.01,59.666,58.75,1707973200000,43536
2024-02-16 05:00:00,2476070.0,59.0116,59.0,59.07,59.27,58.565,1708059600000,31537
2024-02-20 05:00:00,2895128.0,59.315,59.11,59.19,59.845,58.95,1708405200000,29815
2024-02-21 05:00:00,3579235.0,59.8229,59.73,59.81,60.17,59.38,1708491600000,39247
2024-02-22 05:00:00,3251218.0,59.1986,59.19,59.33,59.51,58.55,1708578000000,41401
2024-02-23 05:00:00,2415408.0,59.5115,59.3,59.33,60.03,59.09,1708664400000,29476
2024-02-26 05:00:00,2418853.0,58.3305,59.27,58.05,59.27,58.02,1708923600000,34330
2024-02-27 05:00:00,5752645.0,58.2698,58.14,58.28,58.59,58.01,1709010000000,57701
2024-02-28 05:00:00,6761904.0,57.8025,58.19,57.67,58.245,57.495,1709096400000,60334
2024-02-29 05:00:00,22782205.0,53.5138,57.35,52.69,57.39,52.1,1709182800000,186592
2024-03-01 05:00:00,18786257.0,49.5646,51.66,49.57,51.66,48.98,1709269200000,153588
2024-03-04 05:00:00,10184436.0,50.6193,49.04,51.06,51.21,48.52,1709528400000,91010
2024-03-05 05:00:00,12549192.0,49.5597,51.14,48.65,51.63,48.305,1709614800000,110016
2024-03-06 05:00:00,14401880.0,48.7474,49.28,48.44,50.02,46.79,1709701200000,130501
2024-03-07 05:00:00,17186854.0,49.8359,48.97,50.04,50.79,48.69,1709787600000,115408
2024-03-08 05:00:00,8848743.0,50.8033,50.08,51.02,51.4,49.89,1709874000000,82859
2024-03-11 04:00:00,9838055.0,52.7772,52.77,52.91,53.3,52.125,1710129600000,91690
2024-03-12 04:00:00,8809681.0,51.9974,52.63,51.9,53.0,51.64,1710216000000,53964
2024-03-13 04:00:00,5420040.0,51.7287,52.06,51.5,52.45,51.42,1710302400000,52599
2024-03-14 04:00:00,11859997.0,51.6967,50.78,51.88,51.9,50.7592,1710388800000,67765
2024-03-15 04:00:00,11161025.0,51.9159,51.76,51.99,52.235,51.5694,1710475200000,58384
2024-03-18 04:00:00,7217688.0,52.021,51.65,52.04,52.415,51.37,1710734400000,54532
2024-03-19 04:00:00,5656951.0,52.4272,51.95,52.43,52.985,51.95,1710820800000,49189
2024-03-20 04:00:00,4547253.0,52.4805,52.14,52.58,52.725,52.03,1710907200000,40372
2024-03-21 04:00:00,3854120.0,52.428,52.72,52.3,53.13,52.28,1710993600000,35305
2024-03-22 04:00:00,3312618.0,52.2307,52.5,52.27,52.71,52.04,1711080000000,33387
2024-03-25 04:00:00,3022666.0,52.4725,52.61,52.48,52.73,52.245,1711339200000,31425
2024-03-26 04:00:00,3498397.0,51.9582,52.49,51.8,52.65,51.58,1711425600000,40444
2024-03-27 04:00:00,3691769.0,53.13,52.21,53.38,53.4,52.18,1711512000000,44391
2024-03-28 04:00:00,3556393.0,53.6991,53.46,53.75,53.89,53.39,1711598400000,31423
2024-04-01 04:00:00,4266575.0,53.3133,53.69,53.28,53.74,53.01,1711944000000,41909
2024-04-02 04:00:00,4561558.0,53.9304,53.28,54.08,54.17,53.14,1712030400000,50659
2024-04-03 04:00:00,4122634.0,53.9208,53.86,54.09,54.115,53.28,1712116800000,44109
2024-04-04 04:00:00,7021959.0,53.8293,54.78,53.77,54.96,53.445,1712203200000,42237
2024-04-05 04:00:00,4483985.0,53.3996,53.53,53.53,53.77,52.955,1712289600000,47886
