date,volume,vw,open,close,high,low,t,n
2025-01-21 05:00:00,4269116.0,89.1542,88.06,89.5,89.84,87.63,1737435600000,58865
2025-01-22 05:00:00,6010013.0,88.6451,90.2,87.48,90.56,87.28,1737522000000,70577
2025-01-23 05:00:00,4899219.0,87.7205,87.11,87.8,88.56,86.47,1737608400000,59875
2025-01-24 05:00:00,5330011.0,88.9986,88.555,88.67,89.99,88.06,1737694800000,59664
2025-01-27 05:00:00,6136311.0,85.3736,84.51,85.01,87.43,84.25,1737954000000,86298
2025-01-28 05:00:00,4797125.0,87.497,85.48,88.64,88.71,84.36,1738040400000,66175
2025-01-29 05:00:00,4662054.0,89.7726,88.365,90.03,90.77,87.96,1738126800000,64034
2025-01-30 05:00:00,5828393.0,93.0873,91.59,92.95,94.25,91.11,1738213200000,78175
2025-01-31 05:00:00,6826242.0,91.6942,93.35,90.82,93.75,90.31,1738299600000,86723
2025-02-03 05:00:00,4760242.0,89.7733,88.64,90.2,91.29,87.71,1738558800000,64535
2025-02-04 05:00:00,5698180.0,86.9921,90.2,86.17,90.23,85.89,1738645200000,75874
2025-02-05 05:00:00,4632712.0,86.0399,87.39,86.0,87.815,85.38,1738731600000,61441
2025-02-06 05:00:00,4908612.0,86.2791,87.65,86.08,88.13,85.22,1738818000000,63932
2025-02-07 05:00:00,4741001.0,86.2276,87.63,85.32,88.73,84.95,1738904400000,62792
2025-02-10 05:00:00,3980375.0,84.9449,86.44,84.85,86.78,84.26,1739163600000,56879
2025-02-11 05:00:00,3988757.0,83.0876,84.9,82.59,85.3283,82.34,1739250000000,57251
2025-02-12 05:00:00,4284296.0,82.186,81.25,82.99,83.06,81.1,1739336400000,64998
2025-02-13 05:00:00,4552366.0,83.7719,83.89,84.29,85.09,82.45,1739422800000,55822
2025-02-14 05:00:00,5658320.0,83.6605,84.18,84.0,84.53,82.23,1739509200000,67899
2025-02-18 05:00:00,6128959.0,84.1835,84.555,84.18,85.15,83.2,1739854800000,74111
2025-02-19 05:00:00,7185340.0,83.7125,83.45,83.89,84.52,82.55,1739941200000,81092
2025-02-20 05:00:00,12435287.0,82.0365,84.34,83.04,85.55,81.7001,1740027600000,150589
2025-02-21 05:00:00,36825091.0,70.3304,74.97,68.35,76.5,67.43,1740114000000,366942
2025-02-24 05:00:00,17087386.0,66.4953,68.01,65.92,68.73,65.02,1740373200000,169000
2025-02-25 05:00:00,18883337.0,63.505,66.22,62.84,66.4,62.6,1740459600000,165567
2025-02-26 05:00:00,19627278.0,64.7123,63.45,65.29,65.61,63.25,1740546000000,142526
2025-02-27 05:00:00,12273326.0,65.233,65.01,64.28,66.76,63.91,1740632400000,121887
2025-02-28 05:00:00,7843563.0,64.5036,63.87,65.3,65.41,63.11,1740718800000,72294
2025-03-03 05:00:00,10062454.0,64.3382,65.75,62.79,66.9,62.31,1740978000000,108958
2025-03-04 05:00:00,15104847.0,59.618,60.39,59.43,61.14,57.9,1741064400000,150944
2025-03-05 05:00:00,9759100.0,60.6067,59.8,61.12,61.65,59.43,1741150800000,103582
2025-03-06 05:00:00,10868941.0,59.5987,59.05,59.8,60.9654,58.674,1741237200000,112502
2025-03-07 05:00:00,10863935.0,59.4534,59.805,60.0,61.02,57.61,1741323600000,127447
2025-03-10 04:00:00,15663165.0,55.0619,58.14,54.74,58.42,53.54,1741579200000,173975
2025-03-11 04:00:00,11439971.0,55.0489,54.76,55.29,56.14,53.95,1741665600000,113940
2025-03-12 04:00:00,9003682.0,56.0366,56.38,55.9,56.746,55.21,1741752000000,99193
2025-03-13 04:00:00,8632458.0,54.501,55.34,54.04,55.71,53.88,1741838400000,94132
2025-03-14 04:00:00,8942303.0,56.949,55.5,57.22,57.5209,55.3467,1741924800000,93711
2025-03-17 04:00:00,7701845.0,58.4646,56.65,58.65,59.435,56.65,1742184000000,82237
2025-03-18 04:00:00,8248552.0,59.472,59.9,59.65,60.09,58.78,1742270400000,88136
2025-03-19 04:00:00,8622518.0,61.2253,60.455,61.37,62.43,59.6,1742356800000,99385
2025-03-20 04:00:00,6344104.0,61.5007,60.57,61.0,62.38,60.44,1742443200000,67040
2025-03-21 04:00:00,11395626.0,60.8129,60.35,61.11,61.58,59.6,1742529600000,88961
2025-03-24 04:00:00,9048790.0,62.5843,62.38,62.58,63.18,62.0,1742788800000,80116
2025-03-25 04:00:00,7366119.0,61.8642,62.765,61.33,63.69,61.21,1742875200000,79620
2025-03-26 04:00:00,8962337.0,59.9138,60.89,59.05,61.36,58.8,1742961600000,92854
2025-03-27 04:00:00,7927094.0,57.6374,58.76,56.99,58.9,56.88,1743048000000,78348
2025-03-28 04:00:00,10691958.0,55.527,56.54,55.33,57.0,54.69,1743134400000,103312
2025-03-31 04:00:00,8163748.0,53.7824,53.89,54.33,54.69,52.25,1743393600000,87879
2025-04-01 04:00:00,7649914.0,54.785,53.89,55.41,55.52,53.77,1743480000000,74257
2025-04-02 04:00:00,9187888.0,57.4743,54.0,57.86,58.71,53.903,1743566400000,104293
2025-04-03 04:00:00,13288061.0,54.0839,54.74,53.97,55.4406,52.47,1743652800000,147166
2025-04-04 04:00:00,15195686.0,49.9392,50.3101,50.26,51.88,47.69,1743739200000,176239
2025-04-07 04:00:00,13017673.0,50.0621,47.05,50.47,53.45,46.42,1743998400000,154230
2025-04-08 04:00:00,9909735.0,50.6131,52.93,49.08,53.339,48.13,1744084800000,114440
2025-04-09 04:00:00,12475669.0,53.2877,49.05,55.99,56.77,47.95,1744171200000,131583
2025-04-10 04:00:00,9573964.0,53.0831,54.34,52.91,54.88,50.93,1744257600000,105117
2025-04-11 04:00:00,8623134.0,53.1061,52.86,53.94,54.15,51.0,1744344000000,94724
2025-04-14 04:00:00,7027231.0,54.6874,55.31,54.66,55.7,53.64,1744603200000,76377
2025-04-15 04:00:00,4012871.0,55.1599,54.82,55.08,55.9,54.58,1744689600000,55002
2025-04-16 04:00:00,6318002.0,53.9457,54.2,53.75,55.5,52.77,1744776000000,68500
2025-04-17 04:00:00,4510036.0,53.8609,53.65,53.9,54.4175,53.03,1744862400000,56366
2025-04-21 04:00:00,5836774.0,52.1501,52.92,52.39,53.45,51.3987,1745208000000,67545
2025-04-22 04:00:00,6058768.0,54.0808,53.02,54.33,54.83,52.995,1745294400000,64725
2025-04-23 04:00:00,8388837.0,56.3944,56.9,55.66,58.75,55.22,1745380800000,83799
2025-04-24 04:00:00,6468768.0,56.6892,55.79,57.5,57.52,55.18,1745467200000,76801
2025-04-25 04:00:00,5625894.0,57.8884,57.67,58.09,58.27,57.22,1745553600000,67354
2025-04-28 04:00:00,4578683.0,58.2597,58.55,58.32,59.27,57.52,1745812800000,58367
2025-04-29 04:00:00,4547704.0,59.2952,58.74,59.56,59.82,58.5,1745899200000,62556
2025-04-30 04:00:00,6625537.0,57.7428,57.02,58.47,58.7,56.4135,1745985600000,73645
2025-05-01 04:00:00,10666951.0,55.7313,59.02,58.48,59.68,58.21,1746072000000,119492
2025-05-02 04:00:00,54280115.0,45.9324,45.325,46.53,47.0,44.27,1746158400000,435240
2025-05-05 04:00:00,18628227.0,46.0796,45.92,46.64,46.94,45.025,1746417600000,163306
2025-05-06 04:00:00,18029106.0,47.2519,45.7,47.29,48.0199,45.65,1746504000000,146071
2025-05-07 04:00:00,14816902.0,47.7337,47.48,47.95,48.18,47.11,1746590400000,115606
2025-05-08 04:00:00,13090465.0,49.8941,48.125,50.11,50.785,48.125,1746676800000,132873
2025-05-09 04:00:00,12274629.0,50.5224,50.23,50.36,51.27,50.09,1746763200000,105983
2025-05-12 04:00:00,13204520.0,54.4474,53.185,55.02,55.06,53.185,1747022400000,140446
2025-05-13 04:00:00,20820340.0,57.2739,55.185,58.17,58.6851,54.8604,1747108800000,200583
2025-05-14 04:00:00,13394026.0,58.4439,59.61,58.5,59.85,57.71,1747195200000,125499
2025-05-15 04:00:00,11546459.0,57.1231,57.145,57.01,57.88,56.46,1747281600000,114710
2025-05-16 04:00:00,7034758.0,57.5934,56.49,57.66,58.12,56.48,1747368000000,75254
2025-05-19 04:00:00,7197391.0,57.7657,56.18,58.33,58.49,56.08,1747627200000,69849
2025-05-20 04:00:00,5689738.0,57.7599,58.445,57.34,58.65,57.03,1747713600000,63370
2025-05-21 04:00:00,10101725.0,56.0514,56.55,55.44,57.01,55.19,1747800000000,99951
2025-05-22 04:00:00,12529792.0,58.129,55.6001,58.35,59.08,55.6,1747886400000,130656
2025-05-23 04:00:00,9695939.0,58.4182,56.415,58.74,59.095,55.88,1747972800000,101817
2025-05-27 04:00:00,12008406.0,61.9149,60.05,62.15,62.66,59.85,1748318400000,123362
2025-05-28 04:00:00,6605890.0,61.8102,62.515,61.81,62.515,61.33,1748404800000,73677
2025-05-29 04:00:00,7510012.0,62.2405,62.27,62.16,63.11,61.675,1748491200000,80275
2025-05-30 04:00:00,11486779.0,61.6465,61.72,61.75,62.09,60.885,1748577600000,85780
2025-06-02 04:00:00,6094155.0,61.3668,60.36,61.76,61.8875,59.9,1748836800000,71894
2025-06-03 04:00:00,7697552.0,63.2452,63.725,63.51,63.8,62.01,1748923200000,83326
2025-06-04 04:00:00,7559276.0,63.4965,63.72,63.86,64.07,62.55,1749009600000,78026
2025-06-05 04:00:00,8165546.0,63.9416,63.62,63.6,64.9,63.15,1749096000000,82718
2025-06-06 04:00:00,7824511.0,64.5851,64.54,64.99,65.22,63.4828,1749182400000,85113
2025-06-09 04:00:00,7128063.0,65.7439,65.45,65.84,66.46,64.775,1749441600000,77881
2025-06-10 04:00:00,9970953.0,64.6327,65.48,64.48,65.6848,63.99,1749528000000,94213
2025-06-11 04:00:00,6419751.0,64.5119,64.91,64.06,65.45,63.78,1749614400000,72320
2025-06-12 04:00:00,5193918.0,64.3285,63.6,63.85,65.32,63.31,1749700800000,58825
2025-06-13 04:00:00,7035110.0,61.9792,62.21,61.57,62.9906,61.345,1749787200000,79078
2025-06-16 04:00:00,6561696.0,64.4251,62.73,64.82,65.18,62.66,1750046400000,79295
2025-06-17 04:00:00,5408209.0,63.744,64.045,63.32,64.54,63.06,1750132800000,64611
2025-06-18 04:00:00,8344451.0,63.1399,63.06,63.09,63.91,61.34,1750219200000,100453
2025-06-20 04:00:00,6941923.0,63.6921,63.54,63.59,64.3,63.0,1750392000000,62403
2025-06-23 04:00:00,6018683.0,63.3081,62.995,63.62,63.99,61.87,1750651200000,72236
2025-06-24 04:00:00,6303221.0,65.2565,64.61,65.34,65.72,64.3,1750737600000,71763
2025-06-25 04:00:00,5395949.0,64.8426,65.765,64.81,65.765,64.33,1750824000000,63287
2025-06-26 04:00:00,5097188.0,64.7402,64.88,65.11,65.205,63.8012,1750910400000,59196
2025-06-27 04:00:00,9854322.0,66.4581,65.38,66.63,67.01,65.08,1750996800000,83632
2025-06-30 04:00:00,5628569.0,67.9576,67.14,67.93,68.4,67.06,1751256000000,73840
2025-07-01 04:00:00,7204246.0,68.016,67.74,68.27,68.93,66.875,1751342400000,79539
2025-07-02 04:00:00,7032657.0,69.4699,68.17,69.22,70.09,68.0,1751428800000,86766
2025-07-03 04:00:00,4369301.0,69.189,69.665,69.23,69.7,68.58,1751515200000,49881
2025-07-07 04:00:00,7545042.0,69.3782,68.71,69.41,70.2699,67.73,1751860800000,83545
2025-07-08 04:00:00,6872856.0,68.4994,70.215,67.84,70.98,67.7009,1751947200000,85694
2025-07-09 04:00:00,5340813.0,68.4107,68.32,69.01,69.04,67.45,1752033600000,65438
2025-07-10 04:00:00,4166248.0,68.726,68.95,68.76,69.23,67.8,1752120000000,55877
2025-07-11 04:00:00,12851619.0,66.0028,67.8,65.14,68.56,64.85,1752206400000,129964
2025-07-14 04:00:00,11130915.0,68.5829,66.73,68.68,69.84,66.4001,1752465600000,134008
2025-07-15 04:00:00,6706060.0,66.8878,67.98,66.01,68.22,65.96,1752552000000,79543
2025-07-16 04:00:00,8209948.0,67.9484,66.53,69.03,69.1,66.262,1752638400000,99168
2025-07-17 04:00:00,7795251.0,70.8479,69.82,70.73,71.52,69.615,1752724800000,93166
2025-07-18 04:00:00,10786378.0,74.1301,72.01,72.82,73.25,71.17,1752811200000,131399
2025-07-21 04:00:00,49143462.0,78.48,78.61,78.08,79.44,76.8,1753070400000,432876
2025-07-22 04:00:00,139479528.0,79.2155,78.46,79.27,79.585,78.26,1753156800000,311191
2025-07-23 04:00:00,13249814.0,79.4184,79.81,79.7,80.36,78.45,1753243200000,146004
2025-07-24 04:00:00,9377457.0,79.7991,79.445,79.77,81.13,79.31,1753329600000,101190
2025-07-25 04:00:00,6348691.0,80.47,79.755,80.74,81.08,78.93,1753416000000,78056
2025-07-28 04:00:00,9578650.0,81.0881,81.2,80.57,82.18,80.365,1753675200000,96649
2025-07-29 04:00:00,10631992.0,78.6498,79.7,78.18,81.06,77.64,1753761600000,134985
2025-07-30 04:00:00,7352217.0,77.974,77.705,77.59,78.75,77.049,1753848000000,95169
2025-07-31 04:00:00,6769769.0,77.428,76.78,77.26,78.08,76.0,1753934400000,83267
2025-08-01 04:00:00,8235263.0,73.9733,75.0,74.03,75.22,72.9845,1754020800000,114258
2025-08-04 04:00:00,6082223.0,75.7564,75.02,76.12,76.63,74.42,1754280000000,81065
2025-08-05 04:00:00,7207358.0,75.0064,75.98,75.29,76.1,74.0101,1754366400000,88812
2025-08-06 04:00:00,6488668.0,76.1621,75.33,76.13,76.88,75.33,1754452800000,79040
2025-08-07 04:00:00,14968786.0,78.0988,76.125,76.85,77.37,76.0,1754539200000,153905
2025-08-08 04:00:00,22800821.0,76.1907,82.125,73.39,82.5,73.2,1754625600000,242188
2025-08-11 04:00:00,10171970.0,73.1889,74.08,73.03,74.7575,72.39,1754884800000,111365
2025-08-12 04:00:00,7060824.0,74.4044,73.58,74.54,75.5,73.58,1754971200000,86922
2025-08-13 04:00:00,8084345.0,76.3706,74.765,76.95,77.0625,74.758,1755057600000,101201
2025-08-14 04:00:00,6560309.0,75.7096,76.17,76.04,76.5398,74.47,1755144000000,83706
2025-08-15 04:00:00,6691825.0,75.8881,76.19,75.8,76.88,75.23,1755230400000,75934
2025-08-18 04:00:00,6781357.0,76.6212,76.0,76.73,77.46,75.76,1755489600000,73589
2025-08-19 04:00:00,5387018.0,74.9395,76.85,74.3,77.25,74.04,1755576000000,74089
2025-08-20 04:00:00,7093111.0,73.3583,73.58,74.18,74.28,71.45,1755662400000,92102
2025-08-21 04:00:00,6961876.0,73.4763,73.72,74.09,74.15,72.51,1755748800000,75750
2025-08-22 04:00:00,12035339.0,78.0559,73.55,79.12,79.385,73.47,1755835200000,129781
2025-08-25 04:00:00,6549253.0,79.4142,78.39,79.08,80.32,78.39,1756094400000,84847
2025-08-26 04:00:00,5128313.0,78.4723,78.46,78.78,79.01,77.73,1756180800000,68511
2025-08-27 04:00:00,4027606.0,79.3252,78.58,79.39,79.685,78.44,1756267200000,61818
2025-08-28 04:00:00,5019582.0,80.73,79.98,80.78,81.39,79.756,1756353600000,67297
2025-08-29 04:00:00,6205702.0,80.1665,80.8,79.64,82.25,79.14,1756440000000,81074
2025-09-02 04:00:00,6813698.0,76.2099,76.81,76.23,77.1,75.185,1756785600000,95653
2025-09-03 04:00:00,4974978.0,75.7996,76.3,75.79,76.375,75.34,1756872000000,63563
2025-09-04 04:00:00,4804865.0,75.2326,75.73,75.75,75.96,73.72,1756958400000,68542
2025-09-05 04:00:00,4785770.0,74.8618,76.3,74.94,77.075,73.69,1757044800000,71868
2025-09-08 04:00:00,5191548.0,75.5593,75.05,75.82,75.98,74.885,1757304000000,81023
2025-09-09 04:00:00,4162343.0,75.6631,75.63,75.51,76.67,75.0,1757390400000,62780
2025-09-10 04:00:00,5756264.0,74.3531,75.795,73.75,76.79,73.05,1757476800000,82461
2025-09-11 04:00:00,4196722.0,74.2591,73.94,74.23,74.77,73.4462,1757563200000,72271
2025-09-12 04:00:00,4621316.0,73.2709,73.6,72.87,74.215,72.845,1757649600000,70244
2025-09-15 04:00:00,6474819.0,74.3988,73.33,74.63,75.2,73.1,1757908800000,82766
2025-09-16 04:00:00,5512156.0,75.301,74.56,75.78,75.96,73.801,1757995200000,78414
2025-09-17 04:00:00,5296920.0,75.8943,75.88,75.71,77.25,74.53,1758081600000,76802
2025-09-18 04:00:00,5443779.0,77.4748,76.2,77.37,78.3,75.76,1758168000000,80519
2025-09-19 04:00:00,7600290.0,76.9537,77.7,77.03,77.71,76.17,1758254400000,74201
2025-09-22 04:00:00,9005266.0,76.5189,76.5,77.41,77.69,74.72,1758513600000,111719
2025-09-23 04:00:00,7218095.0,76.8781,77.69,76.54,79.0,75.48,1758600000000,92334
2025-09-24 04:00:00,5065809.0,76.9295,76.23,76.49,78.41,75.99,1758686400000,71386
2025-09-25 04:00:00,7447972.0,74.0219,75.04,73.68,75.79,72.84,1758772800000,82339
2025-09-26 04:00:00,6578225.0,72.953,73.385,73.67,73.83,71.44,1758859200000,84529
2025-09-29 04:00:00,7237194.0,75.4567,74.45,75.39,76.155,74.335,1759118400000,86935
2025-09-30 04:00:00,7838116.0,72.3982,75.32,72.27,75.665,71.61,1759204800000,102565
2025-10-01 04:00:00,6640706.0,72.9502,72.57,73.4,73.62,71.835,1759291200000,89107
2025-10-02 04:00:00,7856009.0,76.0158,73.8,76.81,77.24,73.7,1759377600000,112567
2025-10-03 04:00:00,5761668.0,77.1302,76.69,76.95,78.245,76.1,1759464000000,76532
2025-10-06 04:00:00,5324080.0,78.0155,77.55,77.78,78.8,76.69,1759723200000,78009
2025-10-07 04:00:00,5428046.0,78.9809,78.4,79.02,79.97,77.74,1759809600000,79512
2025-10-08 04:00:00,6024895.0,80.7774,79.86,81.11,81.685,79.05,1759896000000,86498
2025-10-09 04:00:00,4193555.0,80.6821,81.09,80.85,81.5,80.01,1759982400000,60547
2025-10-10 04:00:00,8802335.0,76.0615,80.66,74.67,80.97,74.2902,1760068800000,121394
2025-10-13 04:00:00,5383772.0,75.1817,75.97,75.02,76.05,74.43,1760328000000,74685
2025-10-14 04:00:00,5239310.0,75.6796,73.22,76.18,77.44,71.92,1760414400000,77385
2025-10-15 04:00:00,3672518.0,76.5154,76.89,76.13,77.8,75.33,1760500800000,54975
2025-10-16 04:00:00,5590257.0,75.7163,76.35,74.54,77.69,74.4,1760587200000,78936
2025-10-17 04:00:00,4416733.0,74.9828,73.78,75.2,75.71,73.38,1760673600000,64857
2025-10-20 04:00:00,4538172.0,76.3172,75.94,76.5,76.87,74.8401,1760932800000,59878
2025-10-21 04:00:00,4362411.0,77.8985,76.24,77.73,78.87,76.05,1761019200000,61751
2025-10-22 04:00:00,4609949.0,76.0562,77.34,75.92,77.34,75.23,1761105600000,73998
2025-10-23 04:00:00,4695938.0,78.0383,76.13,78.56,79.29,75.76,1761192000000,66411
2025-10-24 04:00:00,3866928.0,79.7252,79.8,79.54,80.38,79.2005,1761278400000,60855
2025-10-27 04:00:00,5158545.0,80.5949,80.58,80.15,81.49,79.9,1761537600000,70575
2025-10-28 04:00:00,3954617.0,80.5549,80.16,80.18,81.7,79.77,1761624000000,63846
2025-10-29 04:00:00,8029398.0,76.8983,77.805,76.51,78.15,75.07,1761710400000,116142
2025-10-30 04:00:00,6301836.0,74.5096,76.47,73.92,76.47,73.715,1761796800000,85172
2025-10-31 04:00:00,7364668.0,75.602,74.61,75.94,76.4378,74.44,1761883200000,111979
2025-11-03 05:00:00,5317834.0,74.676,76.15,74.3,76.6499,73.638,1762146000000,77930
2025-11-04 05:00:00,4983615.0,72.8823,73.11,72.58,73.625,71.26,1762232400000,78206
2025-11-05 05:00:00,5310773.0,73.8974,72.88,73.65,74.6493,72.35,1762318800000,79260
2025-11-06 05:00:00,11236387.0,70.1722,74.34,70.93,75.1,70.86,1762405200000,132531
2025-11-07 05:00:00,21402416.0,64.1828,61.36,65.45,66.74,61.36,1762491600000,263568
2025-11-10 05:00:00,8017427.0,66.3411,66.64,66.8,68.05,64.97,1762750800000,110113
2025-11-11 05:00:00,5397381.0,65.8926,66.285,65.91,66.7,65.3901,1762837200000,76172
2025-11-12 05:00:00,5145915.0,65.5846,65.85,65.77,66.45,64.985,1762923600000,74135
2025-11-13 05:00:00,8568851.0,62.9115,65.37,62.3,65.67,61.63,1763010000000,106753
2025-11-14 05:00:00,9189364.0,60.9425,61.03,60.48,62.19,60.17,1763096400000,108139
2025-11-17 05:00:00,7088427.0,59.442,61.31,58.89,61.414,58.15,1763355600000,97692
2025-11-18 05:00:00,7519653.0,57.991,58.38,57.64,59.54,57.29,1763442000000,98624
2025-11-19 05:00:00,19762995.0,60.4066,58.54,62.0,62.75,56.96,1763528400000,220194
2025-11-20 05:00:00,17531004.0,63.6449,64.31,61.95,65.62,61.83,1763614800000,199909
2025-11-21 05:00:00,13057362.0,61.4815,62.59,61.95,62.95,59.57,1763701200000,135555
2025-11-24 05:00:00,7393553.0,62.0436,62.015,61.86,62.72,61.18,1763960400000,83823
2025-11-25 05:00:00,7223766.0,63.0975,62.04,63.69,63.775,61.81,1764046800000,86655
2025-11-26 05:00:00,6770474.0,65.4035,63.86,65.03,66.13,63.55,1764133200000,90379
2025-11-28 05:00:00,3459937.0,66.8953,65.73,66.8,67.48,65.5,1764306000000,52328
2025-12-01 05:00:00,8119926.0,65.3179,65.66,64.35,66.56,64.32,1764565200000,91554
2025-12-02 05:00:00,20737707.0,62.1271,64.73,60.11,65.275,59.97,1764651600000,210441
2025-12-03 05:00:00,13314656.0,61.5786,61.04,61.11,62.9,60.29,1764738000000,134625
2025-12-04 05:00:00,6966772.0,61.5768,61.29,62.19,62.22,60.7,1764824400000,81406
2025-12-05 05:00:00,6670947.0,61.3316,61.26,61.11,62.37,60.73,1764910800000,87460
2025-12-08 05:00:00,6154323.0,61.0296,61.35,61.04,61.71,60.42,1765170000000,87031
2025-12-09 05:00:00,5117966.0,61.5329,60.58,61.57,62.0799,60.2226,1765256400000,62569
2025-12-10 05:00:00,5490994.0,62.5158,61.45,63.29,63.35,60.9821,1765342800000,70345
2025-12-11 05:00:00,5945385.0,63.3838,63.12,63.61,64.11,62.67,1765429200000,84202
2025-12-12 05:00:00,6642301.0,64.2838,63.61,64.75,65.12,62.8,1765515600000,93465
2025-12-15 05:00:00,6711926.0,64.7667,65.63,64.02,66.4,63.95,1765774800000,83600
2025-12-16 05:00:00,6213156.0,64.5896,64.3,64.55,65.5,63.875,1765861200000,79978
2025-12-17 05:00:00,4947465.0,64.3919,64.68,63.77,65.74,63.64,1765947600000,65525
