date,volume,vw,open,close,high,low,t,n
2024-01-18 05:00:00,3832836.0,190.2781,191.43,190.5,192.815,189.17,1705554000000,47120
2024-01-19 05:00:00,2285062.0,188.5533,190.57,188.38,190.92,187.16,1705640400000,38991
2024-01-22 05:00:00,1890696.0,191.6519,190.11,191.2,194.25,190.11,1705899600000,33343
2024-01-23 05:00:00,1487976.0,188.5509,191.55,188.1,191.94,187.79,1705986000000,28127
2024-01-24 05:00:00,1837659.0,186.7458,188.81,186.07,189.6964,185.93,1706072400000,36673
2024-01-25 05:00:00,2530615.0,186.645,185.53,187.32,187.53,185.31,1706158800000,48050
2024-01-26 05:00:00,1840245.0,191.5489,189.21,191.52,192.88,188.97,1706245200000,36822
2024-01-29 05:00:00,1669903.0,191.9482,191.36,192.76,193.0,189.955,1706504400000,31915
2024-01-30 05:00:00,1607479.0,191.3604,192.87,191.43,193.51,190.44,1706590800000,28489
2024-01-31 05:00:00,2150047.0,188.8319,192.13,187.81,192.78,187.44,1706677200000,36466
2024-02-01 05:00:00,1584165.0,188.1719,188.3,189.14,189.64,185.38,1706763600000,37179
2024-02-02 05:00:00,1177651.0,188.823,187.39,189.04,190.18,185.62,1706850000000,25933
2024-02-05 05:00:00,2112457.0,189.7357,188.44,190.17,190.87,187.44,1707109200000,34941
2024-02-06 05:00:00,2459318.0,194.7308,192.0,196.14,196.51,190.87,1707195600000,42316
2024-02-07 05:00:00,2017831.0,197.003,196.14,197.09,197.94,195.21,1707282000000,31602
2024-02-08 05:00:00,1520861.0,195.7883,196.08,195.75,197.0,195.0,1707368400000,30368
2024-02-09 05:00:00,2234328.0,197.1972,195.59,197.32,198.22,195.59,1707454800000,35506
2024-02-12 05:00:00,2469220.0,197.4992,197.74,196.69,199.62,196.448,1707714000000,44099
2024-02-13 05:00:00,4139994.0,185.5226,186.6,183.49,190.61,182.07,1707800400000,72524
2024-02-14 05:00:00,2726777.0,183.9329,185.19,184.08,186.49,182.1,1707886800000,50327
2024-02-15 05:00:00,2725559.0,188.9104,183.86,189.65,190.34,183.86,1707973200000,45086
2024-02-16 05:00:00,1953799.0,189.1292,189.4,188.39,190.35,187.93,1708059600000,31567
2024-02-20 05:00:00,2502757.0,187.3015,187.3,186.55,189.41,186.24,1708405200000,37610
2024-02-21 05:00:00,3179308.0,188.0045,186.66,188.38,188.86,186.66,1708491600000,40250
2024-02-22 05:00:00,3339687.0,193.7106,189.31,196.66,196.67,188.54,1708578000000,56079
2024-02-23 05:00:00,2391200.0,197.058,197.35,197.21,198.21,194.815,1708664400000,38567
2024-02-26 05:00:00,2098518.0,196.7771,196.9,197.04,197.99,195.46,1708923600000,33110
2024-02-27 05:00:00,1982530.0,198.215,197.65,199.0,199.25,194.04,1709010000000,34719
2024-02-28 05:00:00,2003263.0,199.2263,199.3,199.94,200.5,197.1,1709096400000,35001
2024-02-29 05:00:00,2849159.0,198.9007,200.5,198.33,200.5341,198.19,1709182800000,32049
2024-03-01 05:00:00,3724388.0,191.5033,196.0,190.82,196.23,188.49,1709269200000,57920
2024-03-04 05:00:00,3757171.0,187.9343,189.61,187.86,190.42,186.51,1709528400000,57734
2024-03-05 05:00:00,2508455.0,185.5311,187.44,185.23,187.73,184.42,1709614800000,40274
2024-03-06 05:00:00,5028548.0,184.4522,185.3,183.53,187.24,183.23,1709701200000,66145
2024-03-07 05:00:00,3839356.0,183.0443,184.91,181.51,185.11,181.39,1709787600000,54715
2024-03-08 05:00:00,6517994.0,181.7304,182.0,182.16,182.98,179.84,1709874000000,71110
2024-03-11 04:00:00,3383571.0,182.7862,182.62,183.49,183.99,180.42,1710129600000,44649
2024-03-12 04:00:00,2598439.0,181.7719,183.65,181.35,183.83,180.94,1710216000000,39682
2024-03-13 04:00:00,5947487.0,177.7116,181.6,176.23,182.97,175.99,1710302400000,66595
